"id";"Startup";"Sector";"Business_Model";"Employee_count";"Employment_taxes";"Turnover";"Year_Founded";"Website"
535;"BugBox Ltd";"AgTech &";"B2B, B2C";4;"  11.4K";"  9.6K";2015;"www.bugbox.ee"
537;"ConTech";"Business";"B2B, B2C";1;"  11.3K";"  97.1K";2020;"https://www.consumertech.ee/"
539;"Up Catalyst";"CleanTech";"B2B";10;"  11.3K";"  2.1K";2019;"https://www.upcatalyst.com/"
540;"VeeRa";"FinTech";"B2B";3;"  11.2K";"  78.3K";2016;"https://veera.eu/"
541;"Marketing Sharks";"AdTech &";"-";6;"  11.1K";"  71.9K";2012;"http://www.marketingsharks.ee/"
543;"RunProperty.com";"PropTech &";"B2B";4;"  11K";"-";2021;"https://runproperty.com"
546;"Teamweek";"Business";"-";2;"  11K";"  609.7K";2017;"https://teamweek.com/"
548;"InfraFly";"Business";"B2B";3;"  11K";"  14.4K";2017;"https://oms.infrafly.ee/"
550;"Adovinci";"AdTech &";"B2B";5;"  11K";"  7.1K";2017;"www.adovinci.com"
552;"QDO";"Business";"B2B";5;"  10.9K";"  75.3K";2019;"https://qdo.ee/"
554;"Bacca";"Business";"B2B, B2G,";5;"  10.8K";"  86.5K";2018;"baccasoft.com"
556;"CTF Tech";"CyberTech";"B2B, B2G,";14;"  10.7K";"  10.8K";2020;"www.ctftech.com"
558;"Allies";"Business";"B2B";4;"  10.6K";"  51.2K";2018;"https://allies.digital"
560;"guavaHR";"Communication";"B2B";5;"  10.1K";"  49.1K";2018;"www.guavahr.com"
561;"Sharewell";"Business";"B2B";3;"  10.1K";"  15.6K";2020;"www.sharewell.eu"
563;"Navicup";"TravelTech";"B2G,";5;"  10K";"  42.2K";2019;"navicup.com"
565;"Creatomus Solutions";"PropTech &";"B2B";8;"  9.4K";"  78.2K";2015;"https://www.creatomus.com"
567;"Airpatrol";"CleanTech";"-";2;"  9.4K";"  60.3K";2012;"http://www.airpatrol.eu/"
568;"Hoovi";"FinTech";"B2B";3;"  9.3K";"  64.4K";2018;"www.hoovi.ee"
569;"Migrevention";"HealthTech, Life";"B2B, B2C,";3;"  9.2K";"-";2020;"www.migrevention.com"
572;"Leadfinder";"Business";"B2B";5;"  9.2K";"  60.5K";2020;"www.leadfinder.ai"
575;"FanSifter";"AdTech &";"B2B";3;"  9.1K";"  11.5K";2019;"https://fansifter.com/"
577;"ForPeeps Payments";"FinTech";"B2B2C";2;"  9.1K";"  1.8K";2018;"https://forpeeps.eu"
578;"New Garage Time";"Business";"-";2;"  8.9K";"  50.2K";2011;"http://www.newtime.ee/"
580;"Hive.id";"CyberTech";"B2B2C";1;"  8.8K";"-";2018;"https://hive.id"
581;"TutorId";"EdTech";"B2C";2;"  8.6K";"  3.6K";2015;"https://tutor.id/"
582;"EnderTuring";"Business";"B2B";1;"  8.4K";"  71.2K";2018;"https://enderturing.com"
584;"Praktikal";"EdTech";"B2B, B2G,";11;"  8.4K";"  17.4K";2021;"https://praktikal.ee"
586;"Digital Wedding!";"Consumer";"B2G, B2C";2;"  8.3K";"  36.7K";2019;"www.securetech.ee/dw"
592;"Operose Labs OU";"Business";"B2B";2;"  8.2K";"  700";2017;"www.operose.io"
594;"DATA CORPORATION OU";"Business";"B2B, B2G,";1;"  8.1K";"  8K";2018;"https://identix.one"
596;"Vocal Image";"EdTech";"B2C";1;"  8K";"  142.8K";2021;"https://www.vocalimage.app/"
597;"ALPA Kids";"EdTech";"B2B, B2G,";7;"  7.8K";"  18.5K";2018;"https://alpakids.com/"
599;"Exscudo OU";"FinTech";"B2B, B2C";3;"  7.7K";"-";2016;"www.exscudo.com"
600;"Crezu";"FinTech";"B2C";2;"  7.6K";"  5.8M";2018;"crezu.com"
601;"Ringy";"Consumer";"B2B2C";4;"  7.6K";"  85.9K";2020;"www.ringy.app"
606;"Excipio";"Business";"-";1;"  7.6K";"  58.3K";2012;"http://www.benuevo.com/"
608;"Einsteins Square";"EdTech";"B2B2C";2;"  7.5K";"  354.4K";2018;"https://square.lepreschools.com"
609;"reWiLD";"CleanTech";"B2B, B2G";6;"  7.3K";"  19.4K";2013;"www.rewild.ee"
610;"Ari Care";"CleanTech";"B2B, B2C,";6;"  7.3K";"  14.6K";2021;"https://ari.shop"
612;"Traxby";"Consumer";"B2B, B2C";8;"  7.2K";"  39.5K";2013;"www.traxby.com"
617;"KrattWorks";"CleanTech";"B2B, B2G,";3;"  7.2K";"  12K";2018;"www.krattworks.com"
620;"DocuMental";"HealthTech, Life";"B2B, B2C";1;"  7.1K";"-";2016;"www.documental.ee"
623;"VARCUS Solutions";"Transportation";"B2B";3;"  7K";"  28.7K";2020;"https://varcus.com/"
625;"Themo";"CleanTech";"B2B";3;"  7K";"  53.5K";2014;"https://themo.io/"
626;"HUGO.legal";"Business";"B2B, C2C";4;"  7K";"  256.5K";2015;"www.hugo.legal"
628;"Piixpay";"FinTech";"B2B,";2;"  6.9K";"  97";2018;"https://www.piixpay.com/"
630;"NutriLoop";"CleanTech";"B2B, B2G,";3;"  6.9K";"  18.7K";2018;"nutriloop.org"
633;"Fienta";"AdTech &";"B2B, B2C";1;"  6.8K";"  77.4K";2014;"https://fienta.com/"
635;"AdoptoMedia";"AdTech &";"B2B";8;"  6.8K";"  100.2K";2017;"http://www.adoptomedia.com/"
637;"Moticheck";"Business";"B2B";2;"  6.8K";"  5.4K";2021;"moticheck.com"
639;"LANDEX";"FinTech";"B2B, B2C";3;"  6.7K";"-";2021;"https://www.landex.ai/"
640;"AlphaAR";"Consumer";"B2B";4;"  6.7K";"  47.8K";2018;"https://alphaar.io/"
643;"Calidity";"CleanTech";"B2B";7;"  6.7K";"  58K";2016;"https://www.calidityapp.com/"
647;"Merkuur OU / Mobile";"EdTech";"B2B, B2G,";3;"  6.6K";"  30.7K";2016;"https://www.merkuur.eu/summary"
649;"Klovy";"TravelTech";"-";1;"  6K";"  66.6K";2013;"http://www.klovy.com/"
650;"Folderit";"Business";"B2B";1;"  5.8K";"  45.2K";2014;"https://www.folderit.com"
654;"itrays OU";"Consumer";"B2B,";2;"  5.7K";"  83.7K";2020;"https://itrays.ee"
657;"UXDN";"Business";"B2B";1;"  5.5K";"  38.5K";2019;"https://flowlab.ai"
659;"Larva.io";"PropTech &";"B2B,";1;"  5.5K";"  6.9K";2019;"https://www.larva.io/"
663;"WIP (workinpeace.io)";"Business";"B2B,";3;"  5.4K";"  13.9K";2018;"https://workinpeace.io/venues/"
665;"WAPI";"Transportation";"B2B";2;"  5.4K";"  859.9K";2019;"https://www.wapi.com"
667;"SetGo";"Business";"B2B";2;"  5.3K";"  7.4K";2019;"https://www.setgo.ee/"
669;"MOST TECHNOLOGY";"Business";"B2B,";1;"  5.3K";"-";2021;"https://most.technology"
671;"Teremarket";"Business";"-";2;"  5.2K";"  216.9K";2013;"http://teremarkets.com/index.html"
673;"Crystalspace OU";"SpaceTech";"B2B,";3;"  5.1K";"  17.4K";2013;"https://crystalspace.eu"
675;"BHC Laboratory";"CyberTech";"-";1;"  5.1K";"  82.5K";2012;"https://www.bhclab.com/"
676;"Lennuabi";"TravelTech";"B2C";2;"  5K";"  23.9K";2016;"https://www.lennuabi.ee/en/"
677;"TranslateWise";"Business";"B2B,";2;"  5K";"-";2018;"www.translatewise.com"
679;"ContentQuo";"Business";"B2B, B2G";1;"  4.8K";"  87.8K";2015;"https://contentquo.com/"
681;"Polkadex";"FinTech";"B2C";3;"  4.8K";"-";2020;"https://www.polkadex.trade/"
682;"Gallerist";"AdTech &";"-";2;"  4.8K";"  20.6K";2014;"http://galleristapp.com/"
684;"QPage.one";"Business";"B2B";2;"  4.8K";"  18.1K";2020;"https://www.qpage.one/"
686;"CAV Solutions";"CyberTech";"B2B";2;"  4.7K";"  6.4K";2021;"cav.ee"
687;"Appkeep";"Business";"B2B";1;"  4.7K";"  52.7K";2016;"https://appkeep.co"
690;"WiseDrive";"Consumer";"B2B, B2C";2;"  4.6K";"  15.2K";2019;"www.wisedrive.ee"
693;"SKYCORP";"SpaceTech";"B2B, B2G";4;"  4.6K";"  2.5K";2017;"www.sky-corp.eu"
694;"Autolevi";"Transportation";"B2B, C2C,";3;"  4.6K";"  20.2K";2013;"http://www.autolevi.ee/"
696;"DataCalculus";"Business";"B2B";2;"  4.6K";"  4.8K";2019;"https://datacalculus.com/"
698;"BookSwap";"Consumer";"C2C,";4;"  4.5K";"  8.1K";2016;"www.bookswap.co.uk"
701;"Mobinner";"AdTech &";"B2B, B2C";2;"  4.5K";"  99";2017;"https://mobinner.com"
703;"BaBash";"Consumer";"B2B2C";2;"  4.4K";"  3.7K";2018;"babash.eu"
706;"FACT Industries";"SpaceTech";"B2B";4;"  4.4K";"  89";2017;"www.fact-industries.com"
707;"Quppy";"FinTech";"B2B2C";1;"  4.3K";"-";2018;"www.quppy.com"
708;"Artano";"FinTech";"B2B, C2C";1;"  4.3K";"  5.6K";2021;"artano.io"
709;"Sama Sama studios";"Gaming";"-";5;"  4.2K";"  17.3K";2015;"http://www.samasama-studios.com/"
712;"GDPR Register";"Business";"B2B";1;"  4.1K";"  26.1K";2018;"www.gdprregister.eu"
714;"Bide prints";"Advanced";"B2B";5;"  4K";"  33.3K";2021;"www.bide.ee"
717;"Cityntel";"CleanTech";"-";2;"  4K";"  9.7K";2014;"http://www.cityntel.com/"
722;"Soter Analytics";"HealthTech, Life";"B2B, B2G";1;"  4K";"-";2016;"https://soteranalytics.com/"
725;"Edumus";"EdTech";"B2B";3;"  4K";"-";2020;"https://global.edumus.org/"
729;"PocketPro";"Consumer";"B2B, C2C,";3;"  3.9K";"  1.8K";2021;"www.pocketpro.ee"
732;"Arf";"FinTech";"B2B, B2C,";1;"  3.8K";"  2.4K";2019;"https://www.arf.one/"
734;"C-box";"Transportation";"B2B, B2C";2;"  3.8K";"-";2021;"c-box.eu"
736;"Myinnergo";"HealthTech, Life";"-";3;"  3.8K";"  12.1K";2014;"https://www.myinnergo.co.uk/"
739;"CareMate";"Consumer";"C2C";5;"  3.7K";"  10.1K";2017;"www.caremate.ee"
742;"Remosi Technology";"Communication";"B2B, B2C";2;"  3.6K";"-";2019;"remosi.com"
743;"Loti Digital";"CyberTech";"B2B, B2G,";1;"  3.6K";"  46.5K";2020;"https://lotidigital.com"
745;"gratico";"Business";"B2B, B2C";1;"  3.6K";"  10.5K";2020;"https://www.grati.co"
747;"FashLab";"AdTech &";"B2B2C";2;"  3.6K";"  316.6K";2016;"www.fashlab.com"
750;"Planyard";"PropTech &";"B2B";2;"  3.6K";"  23K";2018;"https://www.planyard.com"
752;"PopSpot";"Communication";"C2C, B2C";1;"  3.4K";"  12.2K";2021;"www.popspot.com"
753;"Consorto";"PropTech &";"B2B,";1;"  3.4K";"  2.1K";2017;"www.consorto.com"
755;"Zubax Robotics OU";"SpaceTech";"B2B, B2G";2;"  3.3K";"  112.3K";2015;"https://zubax.com/telega"
756;"KosherDev";"AgTech &";"-";1;"  3.3K";"  9K";2014;"https://kosherdev.com/"
758;"Snacka!";"Communication";"B2B, B2C,";2;"  3.2K";"  5.3K";2021;"https://www.snacka.app/"
760;"Basaar";"AdTech &";"C2C";2;"  3.2K";"  17.1K";2013;"https://basaar.com"
762;"EUROPESHUTTLE OU";"TravelTech";"B2B, B2G,";2;"  3.2K";"  63.5K";2018;"www.europeshuttle.com"
765;"Planlogi";"Transportation";"-";2;"  3.1K";"  17.4K";2018;"http://planlogi.ee/"
767;"Kalida Contract";"Advanced";"B2B,";1;"  3.1K";"  55K";2020;"https://visualize.kalidacontract.com"
770;"NeuraKinesis";"HealthTech, Life";"B2B, C2C";2;"  3.1K";"  52K";2017;"http://neurakinesis.eu/"
773;"Noise Machine";"AdTech &";"-";1;"  3.1K";"  7.7K";2017;"https://noisemachine.eu/"
776;"AIcont";"Business";"B2B";1;"  2.9K";"-";2018;"aicont.eu"
779;"Aerostat H2H";"Business";"B2B2C";4;"  2.9K";"  40K";2020;"www.h2h.ee"
781;"The Maiden";"Gaming";"B2C";1;"  2.9K";"-";2019;"https://blindfoxstudio.com/"
782;"Votemo";"AdTech &";"B2B,";4;"  2.9K";"  7.2K";2018;"votemo.eu"
784;"Vementis Group";"HealthTech, Life";"B2B";1;"  2.8K";"  107.7K";2013;"http://vementis.com/"
790;"Moonable";"FinTech";"B2B, B2G,";2;"  2.8K";"  27.9K";2021;"www.moonable.finance"
793;"SmartMicroPharmacy";"HealthTech, Life";"B2B2C";2;"  2.7K";"  374.3K";2017;"https://glamarium.com/"
798;"ParamountDax";"FinTech";"B2C";1;"  2.6K";"  127.6K";2018;"www.paramountdax.io"
799;"Power Algae";"CleanTech";"B2B,";2;"  2.6K";"-";2013;"www.poweralgae.eu"
801;"2local";"FinTech";"B2B, B2C";1;"  2.6K";"  963";2021;"https://2local.io/"
803;"MeGusto";"AgTech &";"-";2;"  2.5K";"  12.5K";2014;"http://megusto.ee/"
805;"PROXXIFY";"Consumer";"B2B,";2;"  2.5K";"-";2020;"www.proxxify.net"
812;"AliNull";"Consumer";"B2B, B2C";2;"  2.5K";"-";2018;"alinull.com"
815;"BaseTracK";"Transportation";"B2B";4;"  2.5K";"-";2019;"www.basetrack.net"
817;"flexaa";"Business";"B2B, B2G,";1;"  2.4K";"  7.9K";2020;"flexaa.com"
819;"Cyber Boxer";"CyberTech";"B2B,";2;"  2.4K";"-";2019;"www.cyberboxer.com"
821;"WageCan";"FinTech";"B2B, B2C";1;"  2.4K";"  8K";2016;"wagecan.com"
822;"PANGEYA";"Consumer";"B2B,";1;"  2.4K";"  11.9K";2020;"https://pangeyagroup.com/en/"
825;"Official IQ Test";"HealthTech, Life";"B2C";2;"  2.4K";"-";2020;"https://officialiqtests.com"
828;"Veloxmobile OU";"EdTech";"B2C";3;"  2.4K";"-";2017;"https://multikey.app/"
831;"VidiPost";"AdTech &";"B2B,";1;"  2.3K";"  15K";2019;"www.vidipost.com"
833;"Flowbase";"Advanced";"B2B,";3;"  2.3K";"  7.7K";2018;"www.flowbase.io"
836;"Challenger Solutions";"CleanTech";"B2B";1;"  2.3K";"  18.7K";2017;"https://northwindengineering.com/"
837;"Sunmill";"CleanTech";"B2B, B2C";1;"  2.3K";"  8";2020;"www.sunmill.energy"
838;"Gigimot";"HealthTech, Life";"B2B";1;"  2.3K";"-";2020;"https://www.gigimot.com"
841;"TwogNation";"Gaming";"B2C";1;"  2.2K";"  128.1K";2017;"www.twoghub.com"
842;"Sentab";"Consumer";"-";1;"  2.2K";"  971";2013;"https://www.sentab.com/"
845;"Headtime OU";"EdTech";"B2C";2;"  2.1K";"-";2013;"https://www.facebook.com/"
847;"MindChip";"Transportation";"B2B";2;"  2.1K";"  34K";2019;"mindchip.ee"
851;"Iffent";"PropTech &";"B2B, C2C,";1;"  2.1K";"-";2019;"iffent.ee"
853;"RingStone";"Business";"B2B";3;"  2.1K";"  150.1K";2020;"https://www.ringstonetech.com"
858;"rashidov.su";"AgTech &";"B2B, B2C";1;"  2K";"-";2019;"https://scale.rashidov.su"
862;"CEMAS - Marketing";"AdTech &";"B2B";2;"  2K";"-";2019;"http://elemcon.marketing"
865;"Magnetic IP OU";"Consumer";"B2B, B2C";1;"  2K";"  6K";2015;"teslaamazing.com"
868;"zerply";"AdTech &";"-";1;"  1.9K";"  6.7K";2012;"http://www.zerply.com/"
870;"REXR";"Gaming";"B2B, B2C";2;"  1.9K";"  10.3K";2018;"www.rexr.io"
871;"Onde";"Transportation";"B2B";1;"  1.8K";"  893.5K";2018;"https://onde.app"
873;"Forestbook";"AgTech &";"B2B";1;"  1.8K";"  1.7M";2018;"https://www.forestbook.com"
875;"Local Guide OU";"TravelTech";"C2C, B2C";1;"  1.7K";"  1.3K";2012;"www.likealocalguide.com"
876;"Aufort";"FinTech";"B2B, B2C,";5;"  1.7K";"  9.9K";2014;"https://aufort.gold"
878;"Cardoo";"FinTech";"B2B2C";1;"  1.7K";"-";2021;"https://cardoo.finance"
879;"VanOnGo";"Transportation";"-";2;"  1.7K";"  189.3K";2019;"https://vanongo.com/"
881;"ProProtein";"AgTech &";"B2B";1;"  1.6K";"-";2021;"https://proprotein.eu/"
883;"Crassula";"FinTech";"B2B";1;"  1.6K";"-";2017;"http://crassula.io"
884;"SinuLab";"Business";"B2B, B2C";1;"  1.6K";"  23.9K";2014;"sinulab.com"
886;"Staffbranding";"Business";"B2B,";1;"  1.6K";"-";2017;"www.staffbranding.com"
888;"Vetik OU";"CleanTech";"B2B";2;"  1.6K";"  41";2017;"www.vetik.eu"
889;"TRIT";"Business";"B2B, B2C,";2;"  1.5K";"  340";2018;"https://about.trit.pro/platform"
891;"Capster";"HealthTech, Life";"-";2;"  1.5K";"  27.9K";2014;"https://capster.ee/"
898;"Energiaoksjon";"Business";"B2B, B2G";2;"  1.5K";"  69.3K";2018;"www.energiaoksjon.ee"
900;"Gattai";"Communication";"B2B, B2C";1;"  1.5K";"-";2019;"https://www.gatt.ai"
901;"Paytailor";"FinTech";"B2B";1;"  1.5K";"  17.6K";2015;"https://www.paytailor.com"
902;"Pridegamesstudio";"Gaming";"B2C";1;"  1.5K";"  111.9K";2018;"https://www.pgstudio.io"
903;"Traxnet";"AdTech &";"-";2;"  1.5K";"-";2018;"https://tracxnet.com/"
905;"Najafov Digital OU";"EdTech";"B2B, B2C";2;"  1.5K";"  8.1K";2017;"https://www.najafov.co/"
906;"LearnWise";"EdTech";"B2B, B2G";2;"  1.5K";"  14.6K";2020;"https://www.learnwise.io"
907;"Chain TLM";"Transportation";"B2B";1;"  1.5K";"-";2019;"www.chaintlm.com"
911;"Smartswap";"Consumer";"B2B, C2C,";3;"  1.4K";"  4.8K";2019;"www.smartswap.com"
914;"Skuuper";"Business";"B2B, B2C";1;"  1.4K";"  4.1K";2014;"www.skuuper.com"
916;"KOMTERE OU";"Consumer";"B2B, B2G,";1;"  1.3K";"-";2016;"-"
922;"Adeo imaging";"Business";"-";1;"  1.3K";"  2K";2014;"http://adeoimaging.ee/"
924;"SATU Laboratory";"HealthTech, Life";"B2B, B2C,";1;"  1.3K";"  32.8K";2015;"www.satulaboratory.com"
932;"Dilesy";"EdTech";"B2C,";1;"  1.2K";"  32.6K";2013;"https://dilesy.com/"
938;"Tebo";"EdTech";"B2B, C2C,";2;"  1.1K";"-";2015;"www.tebo.me"
940;"Raison";"FinTech";"B2B, B2C";1;"  1.1K";"  4.3K";2017;"raison.app"
941;"Deep Vantage";"Business";"B2B";1;"  1.1K";"-";2018;"deepvantage.com"
943;"Ridline";"Communication";"B2B";1;"  1.1K";"  11.2K";2016;"www.ridline.com"
944;"TownChat";"TravelTech";"B2B2C";1;"  1.1K";"-";2020;"http://townchat.io"
945;"Space Hub";"Consumer";"B2C,";1;"  1.1K";"-";2020;"https://kladovkin.ru"
948;"Zeew";"Transportation";"B2B";1;"  1.1K";"  54.5K";2017;"http://zeew.eu"
951;"M-Flowers.";"Business";"B2B";2;"  1K";"  401.3K";2021;"https://m-flowers.com/"
954;"enty";"Business";"B2B, B2C";1;"  1K";"  121.7K";2020;"enty.io"
956;"Miratag";"Business";"B2B";2;"  1K";"  32.3K";2014;"https://www.miratag.com"
958;"HiStaff";"Business";"B2C";1;"  1K";"  6.6K";2021;"https://histaff.io"
960;"Callmidwife";"HealthTech, Life";"-";6;"  1K";"-";2014;"http://callmidwife.com/et/"
963;"Friedegggames OU";"Gaming";"B2C";1;"  1K";"  279.5K";2018;"https://friedeggames.com/"
970;"Unsinkable Robotics";"Advanced";"B2B";1;"  959";"  8.5K";2019;"https://unsinkable.eu/"
973;"Pagerr";"Advanced";"B2B";1;"  943";"  54K";2019;"pagerr.net"
976;"Naine.fit";"HealthTech, Life";"B2C";1;"  924";"-";2020;"www.naine.fit"
979;"YORSO";"AgTech &";"B2B";1;"  909";"  1.1M";2018;"https://yorso.com"
983;"Work Quest";"Business";"B2B, C2C,";1;"  901";"-";2019;"www.workquest.co"
986;"89COINS";"Business";"B2B, B2C";1;"  899";"  446";2020;"https://89coins.org/"
989;"Sellme";"AdTech &";"B2B";1;"  881";"-";2018;"https://sellme.ee"
991;"By Cycle";"Business";"B2B, B2G,";1;"  875";"-";2020;"https://bycycle.io/"
993;"Neuromarketing tips";"AdTech &";"-";1;"  861";"  16.9K";2018;"https://neuromarketingtips.eu/"
1000;"Kookon";"Consumer";"-";2;"  810";"  260.1K";2016;"https://www.kookon.ee/"
1003;"Fanclear";"FinTech";"B2B, B2C,";1;"  780";"-";2020;"fanclear.com"
1005;"SeekingWolf OU";"AdTech &";"B2B, B2C";1;"  772";"-";2017;"http://seekingwolf.com."
1007;"Talkie";"HealthTech, Life";"B2B2C";1;"  764";"-";2018;"https://evaai.io/"
1010;"HealthCode AI";"HealthTech, Life";"B2B, B2G";2;"  733";"  2.5K";2018;"www.healthcodeai.com"
1016;"Flowline";"CleanTech";"B2B, B2G";1;"  691";"-";2019;"www.flowline.ee"
1017;"MyFinancier";"FinTech";"B2C,";2;"  677";"  3.3K";2017;"www.myf.ee"
1028;"Evenstad";"Business";"B2B";2;"  603";"  1.1K";2020;"https://evenstad.ee"
1030;"TuEnvioYa OU";"Transportation";"B2B, B2C";1;"  584";"  4.5K";2017;"www.tuenvioya.com.uy"
1032;"Captor";"Business";"B2B";1;"  581";"-";2019;"captor.us"
1034;"Price&Cost";"FinTech";"B2B";1;"  578";"  26.9K";2015;"www.priceandcost.com"
1035;"moduulo";"Business";"B2B";1;"  578";"  199";2018;"https://www.moduulo.com/"
1037;"Myceen";"CleanTech";"B2B, B2C";1;"  510";"-";2021;"www.myceen.com"
1040;"Surfzone";"Consumer";"-";1;"  462";"  12.9K";2016;"https://surfzone.co/"
1043;"Premium";"Gaming";"B2B,";1;"  425";"  18.4K";2016;"www.pbt.com.mt"
1047;"EasyStyle";"Business";"B2B,";1;"  385";"-";2021;"https://easystl.com/"
1049;"Relabit";"PropTech &";"B2B2C";1;"  385";"-";2019;"www.relabit.online"
1051;"S I L E N T O";"Consumer";"B2C,";2;"  384";"  10.9K";2019;"www.silento.info"
1054;"Nudre";"TravelTech";"B2B";1;"  363";"-";2019;"www.nudre.com"
1059;"Rosella Kunst";"Consumer";"B2B, B2C";11;"  333";"-";2018;"rosellakunst.com"
1071;"Captain Corrosion";"Consumer";"-";1;"  262";"  58K";2016;"https://captaincorrosion.com/"
1076;"hausECO";"PropTech &";"B2B, B2C";1;"  258";"  9.7K";2020;"www.hauseco.ee"
1080;"zyffy";"Consumer";"B2B, C2C,";1;"  231";"-";2017;"www.zyffy.com"
1097;"xappfactory";"AdTech &";"B2B, B2C,";2;"  60";"-";2020;"xappfactory.com"
1099;"I Can Grab / Vahva";"HealthTech, Life";"-";1;"  51";"  6K";2017;"www.vahva.eu"
1105;"Boardlee";"Business";"B2B, B2C";1;"  24";"-";2020;"https://boardlee.com"
1110;"IMEPILT STUDIOS";"Communication";"B2B2C";1;"  5";"  90";2017;"www.imepilt.com"
1123;"Frank.ai";"AdTech &";"B2B";1;"-";"-";2015;"http://frank.ai/"
1129;"Festivality";"Consumer";"B2B,";2;"-";"-";2015;"http://www.festivality.co/"
1132;"Bakwerke";"AdTech &";"B2B, C2C,";2;"-";"-";2016;"https://www.ticketfriends.ee/"
1135;"CapOne Research OU";"FinTech";"B2B, B2C";6;"-";"-";2016;"www.caponeresearch.com"
1142;"Triggmine OU";"AdTech &";"B2B";1;"-";"-";2015;"http://www.triggmine.com"
1161;"TempID";"HealthTech, Life";"B2B2C";3;"-";"-";2017;"www.tempid.ee"
1173;"TravelUnion OU";"TravelTech";"B2B";1;"-";"-";2016;"www.travelunion.net"
1210;"DigiFlak";"CyberTech";"B2B, B2C";1;"-";"-";2013;"www.digiflak.com"
1249;"Fundwise";"FinTech";"B2B, B2C";2;"-";"  16K";2014;"fundwise.me"
1250;"CrowdCoinage OU";"FinTech";"B2B, B2C";1;"-";"-";2017;"https://crowdcoinage.com"
1314;"Vee Security";"CyberTech";"B2C";1;"-";"-";2018;"veesecurity.com"
1321;"Goslim school (Vexor";"HealthTech, Life";"B2C";1;"-";"  567.8K";2017;"www.goslim.pro"
1384;"Aenbee OU";"Consumer";"B2C,";2;"-";"-";2018;"patentscope.wipo.int/search/en/"
1475;"XIV OU";"Advanced";"B2B";1;"-";"-";2017;"www.xiv.ee"
1488;"SignLang";"HealthTech, Life";"B2C";2;"-";"  13.2K";2018;"signlang.io"
1491;"Sayat.me";"Communication";"C2C, B2C";2;"-";"-";2018;"sayat.me"
1578;"Feniks Gaming Ou";"Gaming";"B2B, C2C,";1;"-";"-";2017;"www.feniksgaming.com"
1603;"fetchM";"AdTech &";"B2C,";1;"-";"-";2019;"fetchm.app"
1658;"Inventory";"AdTech &";"-";1;"-";"-";2016;"http://www.inventory.com/"
1674;"MotionChart";"HealthTech, Life";"-";1;"-";"-";2014;"https://motionchart.com/"
1695;"ScaleDrone";"Business";"-";1;"-";"  6K";2014;"http://www.scaledrone.com/"
1702;"Somno";"Business";"-";2;"-";"-";2015;"https://somno.co/et"
1745;"Rokkex";"FinTech";"-";1;"-";"  500";2019;"https://www.rokkex.com/"
1753;"Multiwebpay";"FinTech";"B2B, C2C,";1;"-";"-";2018;"https://nitronpay.com"
1838;"Graspic";"Consumer";"B2C,";1;"-";"-";2018;"graspic.app"
1853;"Pageloot";"AdTech &";"B2B";1;"-";"  18.5K";2019;"www.pageloot.com/bio"
1869;"My Power Farm";"CleanTech";"B2B2C";1;"-";"-";2019;"https://mypowerfarm.com/"
1958;"Pocketpet";"HealthTech, Life";"B2B2C";1;"-";"-";2019;"Pocketpet.co"
2034;"Envelope";"Transportation";"B2B";1;"-";"  380";2020;"http://nutiparkla.com/"
2129;"Formaloo";"Business";"B2B";2;"-";"  2.8K";2020;"https://formaloo.com"
2158;"FoxIoT";"Advanced";"B2B, B2C,";1;"-";"  31.2K";2020;"www.foxiot.eu"
2163;"KBaas";"Communication";"B2B";1;"-";"-";2020;"https://kbaas.ee"
2195;"Cloud Factory";"Advanced";"B2B,";4;"-";"  37.9K";2017;"www.cloudfactory.jewelry"
2312;"RogoBot";"Transportation";"B2B";1;"-";"-";2019;"https://www.rogobot.com"
2345;"Haltura.ee";"Business";"B2B, C2C,";1;"-";"  6.4K";2018;"https://haltura.ee/"
2398;"TravelTube";"TravelTech";"B2B";4;"-";"-";2021;"https://www.traveltube.io/"
2450;"THE Entify";"CyberTech";"-";1;"-";"-";2019;"www.entifyme.com"
2454;"Werk";"PropTech &";"B2B";1;"-";"  8.1K";2020;"https://www.werknow.eu/"
2470;"GlyNeura";"HealthTech, Life";"B2B";1;"-";"-";2021;"https://glyneura.com/"
2490;"Taskberry";"Business";"B2B";3;"-";"-";2020;"www.taskberry.ee"
2519;"Naabrid";"Consumer";"B2B";1;"-";"-";2019;"https://store.naabrid.ee/"
2545;"RAIKU";"CleanTech";"B2B";5;"-";"  8.8K";2021;"www.raiku.co"
2653;"OPTIMO Robotics";"Advanced";"B2B";3;"-";"  45.1K";2020;"optimo.ee"
2688;"Quantfall";"CyberTech";"B2B";1;"-";"-";2021;"www.quantfall.com"
2694;"Meliora";"CleanTech";"B2B, B2G,";1;"-";"  87";2022;"melioraplanet.com"
2740;"STRONG Dome Home";"Advanced";"B2B, B2G,";1;"-";"-";2021;"https://strongdomehome.com/"
