"id";"Startup";"Sector";"Business_Model";"Employee_count";"Employment_taxes";"Turnover";"Year_Founded";"Website"
163;"Bisly";"PropTech &";"B2B";13;"  68K";"  454.4K";2011;"www.bisly.com"
165;"1oT";"Communication";"B2B";20;"  67.7K";"  685.8K";2016;"http://1oT.com/"
168;"Weekdone";"Business";"B2B";15;"  67.3K";"  212.4K";2012;"weekdone.com"
172;"NodeSWAT";"Business";"-";18;"  66.3K";"  362.8K";2012;"https://nodeswat.com/"
174;"Opiq";"EdTech";"B2B,";19;"  65.6K";"  614.1K";2013;"http://www.opiq.ee"
176;"Resys";"FinTech";"-";7;"  65.5K";"  111.6K";2016;"http://www.resys.io/"
179;"ESTO";"FinTech";"B2B2C";26;"  65.3K";"  225.8K";2017;"https://esto.ee"
180;"Atomic Wallet";"FinTech";"B2C";5;"  65.2K";"  3M";2018;"https://atomicwallet.io/"
181;"Synctuition OU";"HealthTech, Life";"B2B, B2C";18;"  65K";"  1.6M";2016;"www.synctuition.com"
184;"Nevercode";"Business";"B2B";12;"  64.4K";"  42.9K";2015;"https://codemagic.io"
186;"GScan";"Advanced";"B2G";18;"  63.1K";"  34K";2018;"https://gscan.eu"
189;"Credy";"FinTech";"B2C";11;"  63K";"  1.7M";2015;"www.credy.com"
190;"Outfunnel";"AdTech &";"B2B";10;"  62.6K";"  182.3K";2018;"https://outfunnel.com"
192;"Uku";"Consumer";"B2B,";16;"  62.3K";"  386.8K";2017;"getuku.com"
195;"Wolf3D";"Gaming";"B2B,";12;"  60.7K";"  88.7K";2014;"www.wolf3d.io"
197;"Ignium";"FinTech";"B2B,";9;"  60.3K";"  12.7K";2019;"www.ignium.io"
200;"Bercman Technologies";"CleanTech";"B2B, B2G";17;"  60K";"  86.7K";2016;"www.bercman.com"
201;"Warren";"Communication";"B2B,";10;"  59.2K";"  110.4K";2012;"https://warren.io"
203;"HUUM";"Consumer";"-";27;"  59K";"  1.6M";2013;"http://huum.eu/"
206;"Vok Bikes";"Transportation";"B2B,";23;"  56.1K";"  98K";2019;"https://www.vokbikes.com/"
208;"Mercury Cash";"FinTech";"B2B2C";1;"  55.2K";"-";2019;"https://www.mercury.cash/"
209;"Paywerk";"FinTech";"B2B, B2C,";7;"  55.2K";"  69.8K";2021;"https://paywerk.co"
211;"Teamscope";"Business";"B2B";6;"  53.9K";"  61.3K";2015;"https://teamscope.io"
213;"Fyma OU";"PropTech &";"B2B, B2G";10;"  53K";"  10.6K";2017;"www.fyma.ai"
215;"UpSteam";"CleanTech";"B2B, B2C";12;"  51.3K";"  155.5K";2017;"https://www.upsteam.ee/eng.html"
216;"Spaceit";"SpaceTech";"B2B,";7;"  51.1K";"  91.4K";2015;"https://www.spaceit.eu/"
218;"Sentinel";"CyberTech";"B2B, B2G";12;"  50.7K";"  522.5K";2018;"https://thesentinel.ai"
219;"Rendin";"PropTech &";"B2C,";14;"  50.3K";"  8.6K";2019;"www.rendin.co"
223;"Digital Sputnik";"AdTech &";"B2B, B2C";8;"  48.9K";"  205K";2014;"www.digitalsputnik.com"
225;"Clickwork Games";"Gaming";"-";11;"  48.3K";"  437.1K";2019;"https://clickworkgames.com/"
226;"Fintech-Market";"FinTech";"B2B,";11;"  47.7K";"  215.7K";2018;"https://www.fintech-market.com"
230;"BASIS ID";"CyberTech";"B2B, B2C";13;"  46.7K";"  4.5K";2016;"https://basisid.com"
231;"MotherLink";"AdTech &";"B2B";13;"  46.6K";"  725.1K";2017;"https://motherlink.io"
233;"Clanbeat";"EdTech";"B2B, B2G";8;"  45.2K";"  4K";2018;"clanbeat.com"
234;"KappaZeta";"SpaceTech";"B2B, B2G";16;"  44.9K";"  158.7K";2015;"www.kappazeta.ee"
235;"LightCode Photonics";"Advanced";"B2B";17;"  43.8K";"  869";2020;"www.lightcodephotonics.com"
238;"UBIK Solutions";"CleanTech";"B2B, B2C,";1;"  43.8K";"  28.5K";2011;"www.ubiksolutions.eu"
240;"Overstep by Gamecan";"Gaming";"B2B, B2C";20;"  42.9K";"  166.5K";2015;"www.overstepgame.com"
241;"Respiray";"HealthTech, Life";"B2B, B2C";13;"  42.6K";"  76.6K";2020;"www.respiray.com"
244;"Speys";"Transportation";"B2B";7;"  42.5K";"  509.9K";2016;"https://www.speys.com/"
246;"Yaga";"Consumer";"C2C";9;"  42.2K";"  206.8K";2017;"yaga.co.za"
249;"FoodDocs";"AgTech &";"B2B";14;"  41.8K";"  125.1K";2017;"www.fooddocs.com"
251;"Medihub";"HealthTech, Life";"B2B";21;"  40.5K";"  783";2015;"https://medihub.me/en"
254;"Haut.AI";"HealthTech, Life";"B2B,";5;"  40.1K";"  188.3K";2018;"https://haut.ai/"
257;"Bankish";"FinTech";"B2B";7;"  39.7K";"  116.6K";2017;"www.bankish.eu"
258;"ParcelSea";"Transportation";"B2B, B2C,";7;"  39.2K";"  52.6K";2020;"https://parcelsea.com/en"
260;"Brightspark";"Business";"B2B";9;"  38.6K";"  37.9K";2011;"https://lexi.market"
262;"Solarstone";"CleanTech";"B2B, B2C,";22;"  38.3K";"  466.5K";2015;"https://solarstone.com"
264;"Eurostep Digital";"FinTech";"B2B";6;"  38.2K";"  7.8K";2017;"www.eurostepdigital.com"
266;"Advendor";"AdTech &";"-";10;"  37.8K";"  530.3K";2014;"https://advendor.net/"
268;"Find Fashion";"AdTech &";"B2B";5;"  37.5K";"  58K";2019;"find.fashion"
270;"Woola";"CleanTech";"B2B";8;"  37.3K";"  26.2K";2020;"woola.xyz"
271;"Avokaado";"Business";"B2B, B2C";9;"  36.5K";"  144.6K";2015;"www.avokaado.com"
273;"Nobe Cars";"Advanced";"B2B, B2G,";8;"  35.8K";"  32.9K";2017;"www.mynobe.com"
276;"voog";"Business";"-";8;"  34.9K";"  164K";2011;"https://www.voog.com/en"
278;"Timbeter";"Advanced";"-";14;"  34.9K";"  201.1K";2013;"http://www.timbeter.com/"
281;"Mekl";"Business";"B2B";6;"  34.8K";"  331.5K";2019;"https://www.mekl.io/"
283;"Bidrento";"PropTech &";"B2B";9;"  34.2K";"  23.5K";2019;"https://bidrento.com/"
286;"Devolon";"FinTech";"B2B, B2C";8;"  34.1K";"  377.3K";2014;"-"
287;"HIGH MOBILITY";"Transportation";"B2B2C";6;"  33.6K";"  110.7K";2013;"https://high-mobility.com/"
289;"Degritter";"Consumer";"B2B2C";13;"  33.2K";"  808.3K";2015;"https://degritter.com"
292;"99math";"EdTech";"B2C,";10;"  33.1K";"-";2019;"www.99math.com"
294;"FeelingStream";"Business";"B2B,";22;"  33.1K";"  125.3K";2015;"https://www.feelingstream.com"
296;"Autobahn";"Transportation";"B2B,";4;"  32.5K";"  96K";2013;"www.autobahn.tech"
298;"Lightyear";"FinTech";"-";4;"  32.1K";"-";2021;"https://golightyear.com/"
299;"FleetGuru";"Business";"B2B";5;"  31.9K";"  12.9K";2020;"fleetguru.app"
301;"Sentinel dVPN";"CyberTech";"B2C";6;"  31.8K";"  194.3K";2021;"https://sentinel.co"
302;"Fairown";"FinTech";"B2B";9;"  31.6K";"-";2018;"www.fairown.com"
303;"Coursy.io";"Business";"B2B, B2G,";5;"  31.3K";"  72K";2019;"https://www.coursy.io/"
305;"Scanbro";"Advanced";"B2B";6;"  30.7K";"  29K";2017;"https://scanbro.com"
308;"Eziil Production";"Advanced";"B2B";10;"  30.4K";"  99.9K";2016;"www.eziil.com"
311;"PARSIQ";"FinTech";"B2B, B2C";9;"  29.9K";"  838.4K";2018;"https://www.parsiq.net/"
312;"So.Fa.Dog";"AdTech &";"B2B,";5;"  29.4K";"  16.4K";2020;"https://so.fa.dog"
315;"BLE Locking";"Consumer";"B2B, B2C,";3;"  29K";"  72K";2018;"www.blelocking.com"
318;"DriveX";"Transportation";"B2B,";7;"  28.7K";"  72.4K";2019;"www.drivex.ee"
320;"Fitlap OU";"HealthTech, Life";"B2C";7;"  28.6K";"  225.3K";2015;"https://fitlap.ee"
326;"Mediamodifier";"AdTech &";"B2B, B2C,";12;"  28.4K";"  117.9K";2019;"https://mediamodifier.com"
328;"DefSecIntel";"CyberTech";"B2B, B2G";6;"  28.2K";"  348.8K";2018;"www.defsecintel.com"
329;"Thinnect";"Communication";"B2B";16;"  28K";"  150.2K";2015;"www.thinnect.com"
330;"Cachet";"FinTech";"B2B2C";5;"  27.4K";"  138.3K";2018;"www.cachet.me"
331;"Gridio";"CleanTech";"B2C,";6;"  27.3K";"  21.6K";2018;"https://gridio.io/en"
333;"Rexplorer";"CleanTech";"B2B, B2C";7;"  27.2K";"  45.6K";2020;"https://www.rexplorer.ee/"
334;"ViisTek Media OU";"AdTech &";"B2C,";7;"  27.2K";"  146.4K";2012;"http://www.viistek.com/"
336;"Antegenes";"HealthTech, Life";"B2B, B2C,";10;"  27K";"  7.3K";2018;"www.antegenes.com"
339;"REBELROAM OU";"CyberTech";"B2B,";7;"  27K";"  327.7K";2015;"www.rebelroam.com"
341;"EFENCO";"CleanTech";"B2B";7;"  27K";"  52.5K";2015;"efenco.eu"
342;"Promoty";"AdTech &";"B2B";7;"  26.7K";"  270.9K";2017;"https://www.promoty.io"
346;"Citybee";"Transportation";"B2C";12;"  26.6K";"  1.4M";2019;"www.citybee.ee"
348;"Modash";"AdTech &";"B2B";8;"  26K";"  290.5K";2018;"https://www.modash.io/"
350;"IPDx";"HealthTech, Life";"B2B, B2C";8;"  26K";"  67.8K";2017;"www.ipdx.eu"
353;"ProBit Exchange";"FinTech";"B2B, B2C";8;"  25.6K";"-";2020;"www.probit.com"
354;"Income";"FinTech";"B2B, B2C";8;"  25.3K";"  125.6K";2020;"www.getincome.com"
355;"Crowdestate";"FinTech";"B2B, B2C";4;"  25.3K";"  333.3K";2019;"www.crowdestate.eu"
356;"Moderan Solutions";"PropTech &";"B2B";6;"  24.7K";"  58.8K";2015;"https://www.moderansolutions.com"
358;"Liigu";"TravelTech";"B2C";11;"  24.7K";"  875.7K";2021;"https://liigu.me"
359;"Airobot";"CleanTech";"B2B, B2C";7;"  24.6K";"  239.3K";2013;"www.airobot.ee"
362;"Superhands";"CleanTech";"B2B, B2C,";12;"  24.2K";"  105.6K";2014;"https://superhands.ee/en/"
364;"Lydian";"AdTech &";"B2B,";8;"  23.9K";"  65K";2018;"getlydian.com"
366;"Viseven";"Business";"-";5;"  23.6K";"  7.5M";2014;"https://viseven.com"
368;"10Lines";"Advanced";"B2B";9;"  23.4K";"  7.3K";2019;"www.10-lines.com"
371;"Mothership";"FinTech";"B2B, B2C";2;"  23.2K";"  484";2017;"https://mothership.cx"
374;"Hanse Digital Access";"FinTech";"B2B2C";5;"  23.1K";"  15.4K";2018;"www.hansedigitalaccess.com"
375;"Elsavie";"HealthTech, Life";"B2B, B2C";8;"  23K";"  82.7K";2020;"www.elsavie.com"
378;"Machineric";"Business";"B2B";8;"  22.9K";"  14K";2020;"https://machineric.com"
380;"Mikaels Lab";"Business";"-";4;"  22.3K";"  426.4K";2018;"https://mikaels.com/"
382;"SoftComply";"HealthTech, Life";"B2B";4;"  22.2K";"  155.9K";2016;"https://softcomply.com/"
385;"RecruitLab";"Business";"B2B, B2G";5;"  22.1K";"  42.7K";2020;"https://recruitlab.co.uk"
387;"Kriptomat";"FinTech";"B2C";3;"  22.1K";"  555.5K";2018;"https://kriptomat.io/"
388;"Envoice";"FinTech";"-";9;"  21.3K";"  98.2K";2015;"https://envoice.eu/et/"
389;"Dermtest OU";"HealthTech, Life";"B2B, B2G,";8;"  21.1K";"  31.7K";2013;"www.dermtest.com"
392;"Siffi";"HealthTech, Life";"B2B,";7;"  21K";"  111.4K";2018;"www.siffi.com"
395;"Videolevels OU";"Consumer";"B2B";4;"  20.9K";"  139.9K";2016;"www.videolevels.com"
398;"LoQuiz";"TravelTech";"B2B";7;"  20.8K";"  108K";2011;"loquiz.com"
399;"Patchstack";"CyberTech";"B2B";4;"  20.7K";"  72.2K";2017;"https://www.patchstack.com/"
400;"Hygify";"HealthTech, Life";"B2B,";8;"  20.7K";"  59.7K";2018;"www.hygify.info"
404;"GuestJoy";"TravelTech";"B2B,";6;"  20.7K";"  110K";2014;"https://guestjoy.com/"
406;"Gratitude Services";"Consumer";"B2B, B2C";13;"  20.6K";"  17.8K";2019;"https://gratitudeservices.com"
409;"VideoCV OU";"Business";"B2B";7;"  20.3K";"  15.6K";2016;"https://videocv.io/en"
411;"Parcelfellow";"Transportation";"B2B2C";12;"  19.7K";"  261.5K";2014;"www.parcelfellows.com"
