,id,Startup,Sector,Business_Model,Employee_count,Employment_taxes,Turnover,Year_Founded,Website
63,122,Outvio OU,Business,B2B2C,29,"90,000.00","436,300.00",2017,https://outvio.com
64,124,Polybius,FinTech,B2C,14,"89,700.00","296,900.00",2018,https://osom.finance
65,125,Shopz.com,Consumer,B2B,18,"89,100.00","265,200.00",2020,www.shopz.com
66,128,R8 TECHNOLOGIES,PropTech &,B2B,22,"89,000.00","257,500.00",2017,https://r8tech.io/
67,130,Qminder,Business,B2B,15,"87,000.00","331,700.00",2011,qminder.com
68,132,Agileworks,Business,-,23,"85,600.00","351,000.00",2011,https://www.agileworks.eu/
69,134,MINDTITAN,Business,B2B,30,"84,400.00","301,900.00",2016,www.mindtitan.com
70,136,Planet42,FinTech,"B2C,",10,"83,400.00","86,500.00",2017,www.planet42.com
71,138,Pocopay,FinTech,-,11,"81,200.00","223,400.00",2014,http://www.pocopay.com/
72,141,Guardarian OU,FinTech,"B2B, B2C,",10,"81,100.00","628,200.00",2017,guardarian.com
73,143,Emphy,TravelTech,-,39,"78,700.00","1,600.00",2017,https://emphy.io/
74,144,Snackable,Communication,-,11,"75,900.00","832,400.00",2019,https://www.snackable.ai/
75,145,Area9 Rhapsode,EdTech,"B2B, B2G,",22,"75,400.00","198,700.00",2021,https://area9lyceum.com
76,147,Viveo Health,"HealthTech, Life","B2B, B2C",11,"74,700.00",,2017,www.viveohealth.com
77,150,GlobalReader,Advanced,B2B,17,"74,000.00","292,200.00",2014,www.globalreader.eu
78,153,SportID,"HealthTech, Life","B2B, B2C",21,"73,700.00","338,900.00",2012,www.stebby.eu
79,156,Bikeep,Transportation,"B2B, B2G,",19,"73,300.00","229,500.00",2012,http://bikeep.com
80,158,Fusebox,CleanTech,"B2B,",11,"73,300.00","119,400.00",2014,www.fusebox.energy
81,160,SensusQ,Communication,B2G,10,"72,100.00","12,700.00",2020,www.sensusq.com
82,161,Remato,PropTech &,B2B,15,"70,900.00","167,300.00",2018,https://remato.com
83,163,Bisly,PropTech &,B2B,13,"68,000.00","454,400.00",2011,www.bisly.com
84,165,1oT,Communication,B2B,20,"67,700.00","685,800.00",2016,http://1oT.com/
85,168,Weekdone,Business,B2B,15,"67,300.00","212,400.00",2012,weekdone.com
86,172,NodeSWAT,Business,-,18,"66,300.00","362,800.00",2012,https://nodeswat.com/
87,174,Opiq,EdTech,"B2B,",19,"65,600.00","614,100.00",2013,http://www.opiq.ee
88,176,Resys,FinTech,-,7,"65,500.00","111,600.00",2016,http://www.resys.io/
89,179,ESTO,FinTech,B2B2C,26,"65,300.00","225,800.00",2017,https://esto.ee
90,180,Atomic Wallet,FinTech,B2C,5,"65,200.00","3,000,000.00",2018,https://atomicwallet.io/
91,181,Synctuition OU,"HealthTech, Life","B2B, B2C",18,"65,000.00","1,600,000.00",2016,www.synctuition.com
92,184,Nevercode,Business,B2B,12,"64,400.00","42,900.00",2015,https://codemagic.io
93,186,GScan,Advanced,B2G,18,"63,100.00","34,000.00",2018,https://gscan.eu
94,189,Credy,FinTech,B2C,11,"63,000.00","1,700,000.00",2015,www.credy.com
95,190,Outfunnel,AdTech &,B2B,10,"62,600.00","182,300.00",2018,https://outfunnel.com
96,192,Uku,Consumer,"B2B,",16,"62,300.00","386,800.00",2017,getuku.com
97,195,Wolf3D,Gaming,"B2B,",12,"60,700.00","88,700.00",2014,www.wolf3d.io
98,197,Ignium,FinTech,"B2B,",9,"60,300.00","12,700.00",2019,www.ignium.io
99,200,Bercman Technologies,CleanTech,"B2B, B2G",17,"60,000.00","86,700.00",2016,www.bercman.com
100,201,Warren,Communication,"B2B,",10,"59,200.00","110,400.00",2012,https://warren.io
101,203,HUUM,Consumer,-,27,"59,000.00","1,600,000.00",2013,http://huum.eu/
102,206,Vok Bikes,Transportation,"B2B,",23,"56,100.00","98,000.00",2019,https://www.vokbikes.com/
103,208,Mercury Cash,FinTech,B2B2C,1,"55,200.00",,2019,https://www.mercury.cash/
104,209,Paywerk,FinTech,"B2B, B2C,",7,"55,200.00","69,800.00",2021,https://paywerk.co
105,211,Teamscope,Business,B2B,6,"53,900.00","61,300.00",2015,https://teamscope.io
