,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
95,Bob W,TravelTech,"B2B, B2C",29,? 119.9K,? 152.8K,2018,bobw.co
96,MRP Easy,Business,B2B,24,? 119.2K,? 836K,2014,www.mrpeasy.com
97,,software & HR,,,,,,
98,Deel,Business,"B2B,",27,? 118.4K,? 308.5K,2021,https://www.letsdeel.com/
99,,software & HR,B2B2C,,,,,
100,SkySelect,Transportation,B2B,16,? 117K,? 397.3K,2017,www.skyselect.com
101,,& Logistics,,,,,,
102,PowerUp Fuel Cells OU,CleanTech,"B2B,",39,? 115.2K,? 97.7K,2016,https://powerup-tech.com
103,,,B2B2C,,,,,
104,Jobbatical,Business,B2B2C,22,? 112.8K,? 911.1K,2014,https://jobbatical.com/
105,,software & HR,,,,,,
106,EyeVi Technologies,Transportation,B2B,37,? 112.4K,? 127.7K,2020,https://www.eyevi.tech
107,,& Logistics,,,,,,
108,NEXD,AdTech &,"B2B,",18,? 106.7K,? 334.5K,2015,https://nexd.com
109,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
110,,,model,count 1Q,taxes 1Q,1Q,founded,
111,Lingvist,EdTech,B2C,19,? 105.4K,? 753.3K,2013,http://lingvist.io/
112,Car Rental Gateway,TravelTech,B2B,33,? 105K,? 372K,2016,https://www.carrentalgateway.com/
113,,,,,,,,titanium-mobility/
114,meetFrank,Business,"B2B,",18,? 97.3K,? 507.5K,2017,https://www.meetfrank.com/
115,,software & HR,B2B2C,,,,,
116,CoinMetro Group OU,FinTech,"C2C, B2C",22,? 94K,? 20.6K,2018,https://coinmetro.com/
117,Evocon OU,Advanced,B2B,21,? 91.9K,? 857.5K,2016,www.evocon.com
118,,Manufacturing,,,,,,
119,,& Industry,,,,,,
120,Agrello,Business,"B2B, B2C,",13,? 90.9K,? 13K,2017,https://www.agrello.io
121,,software & HR,B2B2C,,,,,
122,Outvio OU,Business,B2B2C,29,? 90K,? 436.3K,2017,https://outvio.com
123,,software & HR,,,,,,
124,Polybius,FinTech,B2C,14,? 89.7K,? 296.9K,2018,https://osom.finance
125,Shopz.com,Consumer,B2B,18,? 89.1K,? 265.2K,2020,www.shopz.com
126,,products and,,,,,,
127,,services,,,,,,
128,R8 TECHNOLOGIES,PropTech &,B2B,22,? 89K,? 257.5K,2017,https://r8tech.io/
129,,Construction,,,,,,
130,Qminder,Business,B2B,15,? 87K,? 331.7K,2011,qminder.com
131,,software & HR,,,,,,
132,Agileworks,Business,-,23,? 85.6K,? 351K,2011,https://www.agileworks.eu/
133,,software & HR,,,,,,
134,MINDTITAN,Business,B2B,30,? 84.4K,? 301.9K,2016,www.mindtitan.com
135,,software & HR,,,,,,
136,Planet42,FinTech,"B2C,",10,? 83.4K,? 86.5K,2017,www.planet42.com
137,,,B2B2C,,,,,
138,Pocopay,FinTech,-,11,? 81.2K,? 223.4K,2014,http://www.pocopay.com/
139,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
140,,,model,count 1Q,taxes 1Q,1Q,founded,
141,Guardarian OU,FinTech,"B2B, B2C,",10,? 81.1K,? 628.2K,2017,guardarian.com
142,,,B2B2C,,,,,
143,Emphy,TravelTech,-,39,? 78.7K,? 1.6K,2017,https://emphy.io/
144,Snackable,Communication,-,11,? 75.9K,? 832.4K,2019,https://www.snackable.ai/
145,Area9 Rhapsode,EdTech,"B2B, B2G,",22,? 75.4K,? 198.7K,2021,https://area9lyceum.com
146,,,B2B2C,,,,,
147,Viveo Health,"HealthTech, Life","B2B, B2C",11,? 74.7K,-,2017,www.viveohealth.com
148,,sciences &,,,,,,
149,,Wellness,,,,,,
150,GlobalReader,Advanced,B2B,17,? 74K,? 292.2K,2014,www.globalreader.eu
151,,Manufacturing,,,,,,
152,,& Industry,,,,,,
153,SportID,"HealthTech, Life","B2B, B2C",21,? 73.7K,? 338.9K,2012,www.stebby.eu
154,,sciences &,,,,,,
155,,Wellness,,,,,,
156,Bikeep,Transportation,"B2B, B2G,",19,? 73.3K,? 229.5K,2012,http://bikeep.com
157,,& Logistics,B2B2C,,,,,
158,Fusebox,CleanTech,"B2B,",11,? 73.3K,? 119.4K,2014,www.fusebox.energy
159,,,B2B2C,,,,,
160,SensusQ,Communication,B2G,10,? 72.1K,? 12.7K,2020,www.sensusq.com
161,Remato,PropTech &,B2B,15,? 70.9K,? 167.3K,2018,https://remato.com
162,,Construction,,,,,,
163,Bisly,PropTech &,B2B,13,? 68K,? 454.4K,2011,www.bisly.com
164,,Construction,,,,,,
165,1oT,Communication,B2B,20,? 67.7K,? 685.8K,2016,http://1oT.com/
166,self-driving ELMO Rent,Transportation,"B2B, B2C,",20,? 67.7K,? 220.1K,2017,www.elmorent.ee
167,,& Logistics,B2B2C,,,,,
168,Weekdone,Business,B2B,15,? 67.3K,? 212.4K,2012,weekdone.com
169,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
170,,,model,count 1Q,taxes 1Q,1Q,founded,
171,,software & HR,,,,,,
172,NodeSWAT,Business,-,18,? 66.3K,? 362.8K,2012,https://nodeswat.com/
173,,software & HR,,,,,,
174,Opiq,EdTech,"B2B,",19,? 65.6K,? 614.1K,2013,http://www.opiq.ee
175,,,B2B2C,,,,,
176,Resys,FinTech,-,7,? 65.5K,? 111.6K,2016,http://www.resys.io/
177,Smaily email marketing,Business,"B2C,",12,? 65.4K,? 300K,2015,https://smaily.com
178,and automation,software & HR,B2B2C,,,,,
179,ESTO,FinTech,B2B2C,26,? 65.3K,? 225.8K,2017,https://esto.ee
180,Atomic Wallet,FinTech,B2C,5,? 65.2K,? 3M,2018,https://atomicwallet.io/
181,Synctuition OU,"HealthTech, Life","B2B, B2C",18,? 65K,? 1.6M,2016,www.synctuition.com
182,,sciences &,,,,,,
183,,Wellness,,,,,,
