,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
0,,,model,count 3Q,taxes 3Q,3Q,founded,
1,Wise,FinTech,"B2B, C2C,",939,? 3.9M,-,2013,https://wise.com/
2,,,B2C,,,,,
3,Bolt,Transportation,B2B2C,606,? 2.5M,? 81.4M,2013,http://bolt.eu
4,,& Logistics,,,,,,
5,Veriff,CyberTech,"B2B,",231,? 1.2M,? 1.7M,2015,www.veriff.com
6,,,B2B2C,,,,,
7,Monese,FinTech,-,132,? 939.9K,? 143.3K,2015,https://www.monese.com/
8,Paxful,FinTech,"B2C,",154,? 933.9K,? 3.7M,2016,www.paxful.com
9,,,B2B2C,,,,,
10,Swappie,Consumer,B2C,519,? 643.6K,? 20.4M,2020,www.swappie.com
11,,products and,,,,,,
12,,services,,,,,,
13,Starship Technologies,Transportation,-,120,? 551.5K,? 1.2M,2014,https://www.starship.xyz/
14,,& Logistics,,,,,,
15,Testlio,Business,-,57,? 375.7K,? 1M,2012,http://testlio.com/
16,,software & HR,,,,,,
17,Adcash,AdTech &,-,59,? 371.4K,? 3.6M,2011,https://adcash.com/
18,,Creative Tech,,,,,,
19,Milrem Robotics,Transportation,"B2B, B2G",118,? 365.9K,? 720.6K,2013,www.milremrobotics.com
20,,& Logistics,,,,,,
21,Scoro,Business,B2B,76,? 363K,? 2.5M,2013,https://www.scoro.com/
22,,software & HR,,,,,,
23,Xolo,FinTech,B2B,71,? 349.9K,? 685.8K,2015,https://www.xolo.io/
24,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
25,,,model,count 3Q,taxes 3Q,3Q,founded,
26,ONOFF APP OU,Communication,B2B2C,44,? 317.2K,? 2.7M,2014,https://www.onoffapp.com/
27,Sixfold,Transportation,B2B,37,? 301.1K,? 1.2M,2017,https://sixfold.com
28,,& Logistics,,,,,,
29,Topia,Business,-,32,? 286.3K,? 1M,2014,https://www.topia.com/
30,,software & HR,,,,,,
31,Glia,Communication,"B2B,",52,? 276.1K,? 558.3K,2012,https://salemove.wistia.com/
32,,,B2B2C,,,,,medias/xgfd5sc2ut
33,RangeForce,CyberTech,B2B,43,? 272.6K,? 839K,2014,https://www.rangeforce.com/home
34,Linnworks,Business,B2B,68,? 263K,? 735.9K,2011,https://www.linnworks.com/
35,,software & HR,,,,,,
36,Fiizy,FinTech,B2B2C,37,? 200.2K,? 3.7M,2014,www.fiizy.com
37,Threod Systems,SpaceTech,-,52,? 198.7K,? 456.3K,2012,https://threod.com/
38,OCCO,Business,B2B,46,? 192.8K,? 3.8M,2016,occo.digital
39,,software & HR,,,,,,
40,Ampler Bikes,Transportation,B2C,56,? 188.7K,? 1.8M,2014,www.amplerbikes.com
41,,& Logistics,,,,,,
42,Silen,Advanced,-,39,? 170.9K,? 2.1M,2018,https://silenspace.com/
43,,Manufacturing,,,,,,
44,,& Industry,,,,,,
45,Multilogin,CyberTech,"B2B, B2C",31,? 154.7K,? 1.3M,2015,http://multilogin.com
46,CybExer Technologies,CyberTech,-,26,? 139.9K,? 378.8K,2016,http://www.cybexer.com/
47,eAgronom,AgTech &,B2B,35,? 136.9K,? 100.4K,2016,http://eagronom.com/
48,,FoodTech,,,,,,
49,Funderbeam.,FinTech,"B2C,",22,? 130.6K,? 247.7K,2013,www.funderbeam.com
50,,,B2B2C,,,,,
51,GoWorkAbit,Business,-,128,? 129K,? 435.1K,2013,https://goworkabit.ee/
52,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
53,,,model,count 3Q,taxes 3Q,3Q,founded,
54,Katana MRP,Advanced,"B2B, B2C,",25,? 123.7K,? 210.5K,2017,https://katanamrp.com
55,,Manufacturing,B2B2C,,,,,
56,,& Industry,,,,,,
57,CyberCube Analytics,CyberTech,B2B,16,? 123.6K,? 1.2K,2019,www.cybcube.com
58,Change Invest,FinTech,B2C,28,? 123K,? 79.2K,2016,www.changeinvest.com
59,Messente,CyberTech,B2B,20,? 120.9K,? 4.4M,2013,www.messente.com
60,Communications,,,,,,,
61,Moss Estonia,FinTech,B2B,17,? 120.5K,? 472.3K,2021,https://en.getmoss.com/
62,Comodule,CleanTech,"B2B, B2C,",73,? 118.7K,? 2.2M,2014,https://www.comodule.com/
63,,,B2B2C,,,,,
64,Deel,Business,"B2B,",27,? 118.4K,? 308.5K,2021,https://www.letsdeel.com/
65,,software & HR,B2B2C,,,,,
