,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
0,,,model,count 2Q,taxes 2Q,2Q,founded,
1,Wise,FinTech,"B2B, C2C,",954,? 3.4M,-,2013,https://wise.com/
2,,,B2C,,,,,
3,Bolt,Transportation,B2B2C,547,? 2.6M,? 47.8M,2013,http://bolt.eu
4,,& Logistics,,,,,,
5,Paxful,FinTech,"B2C,",129,? 872.8K,? 3.1M,2016,www.paxful.com
6,,,B2B2C,,,,,
7,Veriff,CyberTech,"B2B,",226,? 673.7K,? 1.3M,2015,www.veriff.com
8,,,B2B2C,,,,,
9,Swappie,Consumer,B2C,519,? 643.6K,? 20.4M,2020,www.swappie.com
10,,products and,,,,,,
11,,services,,,,,,
12,Scoro,Business,B2B,74,? 492.1K,? 1.5M,2013,https://www.scoro.com/
13,,software & HR,,,,,,
14,ONOFF APP OU,Communication,B2B2C,46,? 370.9K,? 1.8M,2014,https://www.onoffapp.com/
15,Xolo,FinTech,B2B,72,? 365.3K,? 669.2K,2015,https://www.xolo.io/
16,Starship Technologies,Transportation,-,119,? 355.2K,? 3.5M,2014,https://www.starship.xyz/
17,,& Logistics,,,,,,
18,Monese,FinTech,-,140,? 339.7K,? 175.7K,2015,https://www.monese.com/
19,Adcash,AdTech &,-,64,? 336.1K,? 7.4M,2011,https://adcash.com/
20,,Creative Tech,,,,,,
21,Testlio,Business,-,57,? 328.8K,? 1M,2012,http://testlio.com/
22,,software & HR,,,,,,
23,Sixfold,Transportation,B2B,39,? 316.7K,? 1M,2017,https://sixfold.com
24,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
25,,,model,count 2Q,taxes 2Q,2Q,founded,
26,,& Logistics,,,,,,
27,Linnworks,Business,B2B,66,? 251.6K,? 631.8K,2011,https://www.linnworks.com/
28,,software & HR,,,,,,
29,Glia,Communication,"B2B,",51,? 250.6K,? 776K,2012,https://salemove.wistia.com/
30,,,B2B2C,,,,,medias/xgfd5sc2ut
31,OCCO,Business,B2B,46,? 192.8K,? 3.8M,2016,occo.digital
32,,software & HR,,,,,,
33,Silen,Advanced,-,39,? 170.9K,? 2.1M,2018,https://silenspace.com/
34,,Manufacturing,,,,,,
35,,& Industry,,,,,,
36,Comodule,CleanTech,"B2B, B2C,",68,? 170.9K,? 1.6M,2014,https://www.comodule.com/
37,,,B2B2C,,,,,
38,Ampler Bikes,Transportation,B2C,52,? 169.6K,? 2M,2014,www.amplerbikes.com
39,,& Logistics,,,,,,
40,Milrem Robotics,Transportation,"B2B, B2G",117,? 145.4K,? 1.5M,2013,www.milremrobotics.com
41,,& Logistics,,,,,,
42,RangeForce,CyberTech,B2B,33,? 142.2K,? 418.4K,2014,https://www.rangeforce.com/home
43,Funderbeam.,FinTech,"B2C,",21,? 142.2K,? 339.5K,2013,www.funderbeam.com
44,,,B2B2C,,,,,
45,Change Invest,FinTech,B2C,31,? 136.9K,? 134K,2016,www.changeinvest.com
46,Turnit,TravelTech,"B2B, B2G,",37,? 136.4K,? 649.5K,2014,www.turnit.com
47,,,B2B2C,,,,,
48,Lingvist,EdTech,B2C,19,? 135.6K,? 900.6K,2013,http://lingvist.io/
49,CyberCube Analytics,CyberTech,B2B,14,? 128.2K,-,2019,www.cybcube.com
50,Burfa,CyberTech,-,23,? 127.7K,? 2.7M,2013,https://burfa.com/
51,Multilogin,CyberTech,"B2B, B2C",32,? 124.3K,? 1.1M,2015,http://multilogin.com
52,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
53,,,model,count 2Q,taxes 2Q,2Q,founded,
54,Topia,Business,-,37,? 121.2K,? 358.4K,2014,https://www.topia.com/
55,,software & HR,,,,,,
56,Messente,CyberTech,B2B,20,? 120.9K,? 4.4M,2013,www.messente.com
57,Communications,,,,,,,
58,Moss Estonia,FinTech,B2B,17,? 120.5K,? 472.3K,2021,https://en.getmoss.com/
59,Deel,Business,"B2B,",27,? 118.4K,? 308.5K,2021,https://www.letsdeel.com/
60,,software & HR,B2B2C,,,,,
61,EyeVi Technologies,Transportation,B2B,37,? 112.4K,? 127.7K,2020,https://www.eyevi.tech
62,,& Logistics,,,,,,
63,Threod Systems,SpaceTech,-,55,? 106.8K,? 2.3M,2012,https://threod.com/
64,Jobbatical,Business,B2B2C,17,? 102.6K,? 145.2K,2014,https://jobbatical.com/
65,,software & HR,,,,,,
66,Qminder,Business,B2B,16,? 99.2K,? 180K,2011,qminder.com
67,,software & HR,,,,,,
68,Katana MRP,Advanced,"B2B, B2C,",23,? 97.2K,? 153.7K,2017,https://katanamrp.com
69,,Manufacturing,B2B2C,,,,,
70,,& Industry,,,,,,
71,SkySelect,Transportation,B2B,13,? 94.7K,? 293.8K,2017,www.skyselect.com
72,,& Logistics,,,,,,
73,GoWorkAbit,Business,-,117,? 93.8K,? 303.3K,2013,https://goworkabit.ee/
74,,software & HR,,,,,,
75,Fiizy,FinTech,B2B2C,39,? 93K,? 2.8M,2014,www.fiizy.com
76,meetFrank,Business,"B2B,",16,? 90.4K,? 130.4K,2017,https://www.meetfrank.com/
77,,software & HR,B2B2C,,,,,
78,Planet42,FinTech,"B2C,",10,? 83.4K,? 86.5K,2017,www.planet42.com
79,,,B2B2C,,,,,
80,Guardarian OU,FinTech,"B2B, B2C,",10,? 81.1K,? 628.2K,2017,guardarian.com
81,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
82,,,model,count 2Q,taxes 2Q,2Q,founded,
83,Klaus,Business,"B2B, B2C",15,? 77.8K,? 360K,2018,www.klausapp.com
84,,software & HR,,,,,,
85,Polybius,FinTech,B2C,14,? 76.6K,? 258.6K,2018,https://osom.finance
86,Snackable,Communication,-,11,? 75.9K,? 832.4K,2019,https://www.snackable.ai/
87,Area9 Rhapsode,EdTech,"B2B, B2G,",22,? 75.4K,? 198.7K,2021,https://area9lyceum.com
88,,,B2B2C,,,,,
89,Agrello,Business,"B2B, B2C,",11,? 73.4K,? 17.3K,2017,https://www.agrello.io
90,,software & HR,B2B2C,,,,,
91,MINDTITAN,Business,B2B,30,? 72.5K,? 200.6K,2016,www.mindtitan.com
92,,software & HR,,,,,,
93,SensusQ,Communication,B2G,10,? 72.1K,? 12.7K,2020,www.sensusq.com
94,Agileworks,Business,-,20,? 68.4K,? 220.3K,2011,https://www.agileworks.eu/
95,,software & HR,,,,,,
96,Salv,FinTech,B2B,20,? 68.1K,? 19.4K,2018,www.salv.com
97,Bisly,PropTech &,B2B,13,? 68K,? 454.4K,2011,www.bisly.com
98,,Construction,,,,,,
99,ESTO,FinTech,B2B2C,52,? 65.3K,? 225.8K,2017,https://esto.ee
100,Atomic Wallet,FinTech,B2C,5,? 65.2K,? 3M,2018,https://atomicwallet.io/
101,Weekdone,Business,B2B,20,? 63.5K,? 359.3K,2012,weekdone.com
102,,software & HR,,,,,,
103,EstateGuru,FinTech,"B2B, B2C,",19,? 63.4K,-,2013,https://estateguru.co
104,,,B2B2C,,,,,
105,Auve,Transportation,"B2B,",23,? 63.2K,? 106K,2017,auve.tech
106,,& Logistics,B2B2C,,,,,
107,GScan,Advanced,B2G,22,? 63.1K,? 34K,2018,https://gscan.eu
108,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
109,,,model,count 2Q,taxes 2Q,2Q,founded,
110,NodeSWAT,Business,-,16,? 61.4K,? 267.9K,2012,https://nodeswat.com/
111,,software & HR,,,,,,
112,Roofit.solar,CleanTech,"B2B, B2C,",18,? 60.9K,? 454.3K,2016,https://roofit.solar
113,,,B2B2C,,,,,
114,MRP Easy,Business,B2B,10,? 60.2K,? 375.1K,2014,www.mrpeasy.com
115,,software & HR,,,,,,
116,1oT,Communication,B2B,13,? 60.2K,? 323.3K,2016,http://1oT.com/
117,Warren,Communication,"B2B,",13,? 60.2K,? 43K,2012,https://warren.io
118,,,B2B2C,,,,,
119,Eurora Solutions,Business,"B2B, B2C",8,? 59.1K,? 34.6K,2018,www.eurora.com
120,,software & HR,,,,,,
121,Credy,FinTech,B2C,15,? 57.6K,? 1.1M,2015,www.credy.com
122,Salto,Communication,C2C,18,? 56.4K,? 62.7K,2017,https://salto.co/
123,MCF,Communication,B2B,12,? 55.5K,? 4.5K,2016,https://greenergydatacenters.com/
124,SPEAKLY,EdTech,"B2B, B2C",15,? 55.4K,? 72.3K,2018,https://www.speakly.me
125,Pocopay,FinTech,-,10,? 55.3K,? 428.8K,2014,http://www.pocopay.com/
126,Paywerk,FinTech,"B2B, B2C,",6,? 55.2K,? 69.8K,2021,https://paywerk.co
127,,,B2B2C,,,,,
128,eAgronom,AgTech &,B2B,39,? 54.6K,? 286.5K,2016,http://eagronom.com/
129,,FoodTech,,,,,,
130,SportID,"HealthTech, Life","B2B, B2C",19,? 53.5K,? 199.9K,2012,www.stebby.eu
131,,sciences &,,,,,,
132,,Wellness,,,,,,
133,Fyma OU,PropTech &,"B2B, B2G",10,? 53K,? 10.6K,2017,www.fyma.ai
134,,Construction,,,,,,
135,MotherLink,AdTech &,B2B,18,? 50.1K,? 956.3K,2017,https://motherlink.io
136,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
137,,,model,count 2Q,taxes 2Q,2Q,founded,
138,CoinMetro Group OU,FinTech,"C2C, B2C",13,? 49.5K,-,2018,https://coinmetro.com/
139,Fractory,Advanced,"B2B, B2C",15,? 48.3K,? 648.1K,2017,fractory.com
140,,Manufacturing,,,,,,
141,,& Industry,,,,,,
142,Clickwork Games,Gaming,-,11,? 48.3K,? 437.1K,2019,https://clickworkgames.com/
143,Fintech-Market,FinTech,"B2B,",11,? 47.7K,? 215.7K,2018,https://www.fintech-market.com
144,,,B2B2C,,,,,
145,Synctuition OU,"HealthTech, Life","B2B, B2C",18,? 46.8K,? 6M,2016,www.synctuition.com
146,,sciences &,,,,,,
147,,Wellness,,,,,,
148,NEXD,AdTech &,"B2B,",18,? 46.6K,? 202.8K,2015,https://nexd.com
149,,Creative Tech,B2B2C,,,,,
150,Outfunnel,AdTech &,B2B,8,? 46.5K,? 40.8K,2018,https://outfunnel.com
151,,Creative Tech,,,,,,
152,GlobalReader,Advanced,B2B,9,? 46.4K,? 196.3K,2014,www.globalreader.eu
153,,Manufacturing,,,,,,
154,,& Industry,,,,,,
155,KappaZeta,SpaceTech,"B2B, B2G",16,? 44.9K,? 158.7K,2015,www.kappazeta.ee
156,upitech,"HealthTech, Life",-,9,? 44.3K,? 278.2K,2014,http://www.upitech.ee/
157,,sciences &,,,,,,
158,,Wellness,,,,,,
159,LightCode Photonics,Advanced,B2B,17,? 43.8K,? 869,2020,www.lightcodephotonics.com
160,,Manufacturing,,,,,,
161,,& Industry,,,,,,
162,Wolf3D,Gaming,"B2B,",11,? 43.6K,? 35.6K,2014,www.wolf3d.io
163,,,B2B2C,,,,,
164,Respiray,"HealthTech, Life","B2B, B2C",13,? 42.6K,? 76.6K,2020,www.respiray.com
165,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
166,,,model,count 2Q,taxes 2Q,2Q,founded,
167,Devolon,FinTech,"B2B, B2C",17,? 41K,? 270K,2014,-
168,Uku,Consumer,"B2B,",13,? 40.8K,? 249.7K,2017,getuku.com
169,,products and,B2B2C,,,,,
170,,services,,,,,,
171,Eurostep Digital,FinTech,B2B,5,? 40.6K,? 5.6K,2017,www.eurostepdigital.com
172,ParcelSea,Transportation,"B2B, B2C,",7,? 39.2K,? 52.6K,2020,https://parcelsea.com/en
173,,& Logistics,B2B2C,,,,,
174,Viveo Health,"HealthTech, Life","B2B, B2C",17,? 39K,-,2017,www.viveohealth.com
175,,sciences &,,,,,,
176,,Wellness,,,,,,
177,Smaily email marketing,Business,"B2C,",10,? 39K,? 226.8K,2015,https://smaily.com
178,and automation,software & HR,B2B2C,,,,,
179,Opiq,EdTech,"B2B,",15,? 38.9K,? 269.9K,2013,http://www.opiq.ee
180,,,B2B2C,,,,,
181,Dashbird,Business,-,10,? 38.7K,? 352.2K,2017,https://dashbird.io/
182,,software & HR,,,,,,
183,Fitlap OU,"HealthTech, Life",B2C,13,? 38.1K,? 232.7K,2015,https://fitlap.ee
184,,sciences &,,,,,,
185,,Wellness,,,,,,
186,Timbeter,Advanced,-,14,? 37.4K,? 90.6K,2013,http://www.timbeter.com/
187,,Manufacturing,,,,,,
188,,& Industry,,,,,,
189,VIVITA International OU,EdTech,B2C,12,? 36.9K,? 221,2018,www.vivita.co
190,Evocon OU,Advanced,B2B,13,? 36.8K,? 184K,2016,www.evocon.com
191,,Manufacturing,,,,,,
192,,& Industry,,,,,,
193,Pactum AI OU,Business,"B2B, B2C,",8,? 36.7K,? 21.5K,2019,www.pactum.com
194,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
195,,,model,count 2Q,taxes 2Q,2Q,founded,
196,Brightspark,Business,B2B,9,? 36K,? 53.8K,2011,https://lexi.market
197,,software & HR,,,,,,
198,Clanbeat,EdTech,"B2B, B2G",7,? 35.2K,? 2.4K,2018,clanbeat.com
199,Brainbase,Business,B2B,7,? 33.4K,? 135.7K,2016,https://www.brainbase.com/
200,,software & HR,,,,,,
201,Advendor,AdTech &,-,11,? 32.8K,? 513K,2014,https://advendor.net/
202,,Creative Tech,,,,,,
203,Insly Ltd,FinTech,"B2B,",30,? 32.1K,? 585.6K,2013,https://www.insly.com/en/
204,,,B2B2C,,,,,
205,Lightyear,FinTech,-,4,? 32.1K,-,2021,https://golightyear.com/
206,FleetGuru,Business,B2B,5,? 31.9K,? 12.9K,2020,fleetguru.app
207,,software & HR,,,,,,
208,Sentinel dVPN,CyberTech,B2C,6,? 31.8K,? 194.3K,2021,https://sentinel.co
209,Fairown,FinTech,B2B,9,? 31.6K,-,2018,www.fairown.com
210,voog,Business,-,8,? 30.8K,? 216.9K,2011,https://www.voog.com/en
211,,software & HR,,,,,,
212,Scanbro,Advanced,B2B,6,? 30.7K,? 29K,2017,https://scanbro.com
213,,Manufacturing,,,,,,
214,,& Industry,,,,,,
215,FeelingStream,Business,"B2B,",43,? 29.7K,? 31.1K,2015,https://www.feelingstream.com
216,,software & HR,B2B2C,,,,,
217,Digital Sputnik,AdTech &,"B2B, B2C",23,? 28.7K,? 196.7K,2014,www.digitalsputnik.com
218,,Creative Tech,,,,,,
219,Eziil Production,Advanced,B2B,20,? 28.7K,? 136.8K,2016,www.eziil.com
220,Intelligence OU,Manufacturing,,,,,,
221,,& Industry,,,,,,
222,DriveX,Transportation,"B2B,",7,? 28.7K,? 72.4K,2019,www.drivex.ee
223,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
224,,,model,count 2Q,taxes 2Q,2Q,founded,
225,Car Rental Gateway,TravelTech,B2B,34,? 28.6K,? 119.5K,2016,https://www.carrentalgateway.com/
226,,,,,,,,titanium-mobility/
227,HIGH MOBILITY,Transportation,B2B2C,5,? 28.5K,? 101.4K,2013,https://high-mobility.com/
228,,& Logistics,,,,,,
