,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
0,,,model,count 4Q,taxes 4Q,4Q,founded,
1,Bolt,Transportation,B2B2C,684,? 3.4M,? 108.5M,2013,http://bolt.eu
2,,& Logistics,,,,,,
3,Wise,FinTech,"B2B, C2C,",929,? 3.4M,-,2013,https://wise.com/
4,,,B2C,,,,,
5,Paxful,FinTech,"B2C,",158,? 1.1M,? 5.2M,2016,www.paxful.com
6,,,B2B2C,,,,,
7,Veriff,CyberTech,"B2B,",230,? 1M,? 2.5M,2015,www.veriff.com
8,,,B2B2C,,,,,
9,Monese,FinTech,-,126,? 867.4K,? 328K,2015,https://www.monese.com/
10,Starship Technologies,Transportation,-,130,? 717.9K,? 562.7K,2014,https://www.starship.xyz/
11,,& Logistics,,,,,,
12,Swappie,Consumer,B2C,519,? 643.6K,? 20.4M,2020,www.swappie.com
13,,products and,,,,,,
14,,services,,,,,,
15,Milrem Robotics,Transportation,"B2B, B2G",126,? 606K,? 4.6M,2013,www.milremrobotics.com
16,,& Logistics,,,,,,
17,Topia,Business,-,33,? 415.2K,? 501.4K,2014,https://www.topia.com/
18,,software & HR,,,,,,
19,Scoro,Business,B2B,80,? 383.5K,? 2.1M,2013,https://www.scoro.com/
20,,software & HR,,,,,,
21,Testlio,Business,-,59,? 356K,? 1.1M,2012,http://testlio.com/
22,,software & HR,,,,,,
23,Xolo,FinTech,B2B,68,? 355.8K,? 748.3K,2015,https://www.xolo.io/
24,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
25,,,model,count 4Q,taxes 4Q,4Q,founded,
26,Sixfold,Transportation,B2B,36,? 338.5K,? 1.1M,2017,https://sixfold.com
27,,& Logistics,,,,,,
28,Fiizy,FinTech,B2B2C,39,? 333.1K,? 3.6M,2014,www.fiizy.com
29,Adcash,AdTech &,-,52,? 329.1K,? 7.4M,2011,https://adcash.com/
30,,Creative Tech,,,,,,
31,ONOFF APP OU,Communication,B2B2C,46,? 326.2K,? 2.1M,2014,https://www.onoffapp.com/
32,RangeForce,CyberTech,B2B,47,? 291.1K,? 946.3K,2014,https://www.rangeforce.com/home
33,Comodule,CleanTech,"B2B, B2C,",82,? 286.5K,? 2.8M,2014,https://www.comodule.com/
34,,,B2B2C,,,,,
35,Threod Systems,SpaceTech,-,51,? 285.1K,? 1.4M,2012,https://threod.com/
36,Glia,Communication,"B2B,",59,? 275.4K,? 1M,2012,https://salemove.wistia.com/
37,,,B2B2C,,,,,medias/xgfd5sc2ut
38,Linnworks,Business,B2B,69,? 267.6K,? 710.9K,2011,https://www.linnworks.com/
39,,software & HR,,,,,,
40,GoWorkAbit,Business,-,76,? 213.6K,? 687.8K,2013,https://goworkabit.ee/
41,,software & HR,,,,,,
42,Ampler Bikes,Transportation,B2C,63,? 194.1K,? 1.2M,2014,www.amplerbikes.com
43,,& Logistics,,,,,,
44,OCCO,Business,B2B,46,? 192.8K,? 3.8M,2016,occo.digital
45,,software & HR,,,,,,
46,Silen,Advanced,-,39,? 170.9K,? 2.1M,2018,https://silenspace.com/
47,,Manufacturing,,,,,,
48,,& Industry,,,,,,
49,Tuum,FinTech,B2B,30,? 169.1K,? 502K,2019,https://tuumplatform.com/
50,CybExer Technologies,CyberTech,-,29,? 160.7K,? 514.5K,2016,http://www.cybexer.com/
51,Insly Ltd,FinTech,"B2B,",41,? 158.7K,? 1.2M,2013,https://www.insly.com/en/
52,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
53,,,model,count 4Q,taxes 4Q,4Q,founded,
54,Multilogin,CyberTech,"B2B, B2C",32,? 151.2K,? 1.5M,2015,http://multilogin.com
55,Katana MRP,Advanced,"B2B, B2C,",29,? 145.2K,? 370.7K,2017,https://katanamrp.com
56,,Manufacturing,B2B2C,,,,,
57,,& Industry,,,,,,
58,Turnit,TravelTech,"B2B, B2G,",39,? 135.6K,? 468K,2014,www.turnit.com
59,,,B2B2C,,,,,
60,R8 TECHNOLOGIES,PropTech &,B2B,10,? 127.8K,? 96.5K,2017,https://r8tech.io/
61,,Construction,,,,,,
62,Change Invest,FinTech,B2C,29,? 126.8K,? 50.2K,2016,www.changeinvest.com
63,CyberCube Analytics,CyberTech,B2B,16,? 126.4K,? 9.1K,2019,www.cybcube.com
64,Eurora Solutions,Business,"B2B, B2C",20,? 124.4K,? 32.5K,2018,www.eurora.com
65,,software & HR,,,,,,
66,Brainbase,Business,B2B,20,? 124.1K,? 276.7K,2016,https://www.brainbase.com/
67,,software & HR,,,,,,
68,Funderbeam.,FinTech,"B2C,",21,? 121.8K,? 302.2K,2013,www.funderbeam.com
69,,,B2B2C,,,,,
70,Messente,CyberTech,B2B,20,? 120.9K,? 4.4M,2013,www.messente.com
71,Communications,,,,,,,
72,Moss Estonia,FinTech,B2B,17,? 120.5K,? 472.3K,2021,https://en.getmoss.com/
73,Klaus,Business,"B2B, B2C",23,? 119.7K,? 264.7K,2018,www.klausapp.com
74,,software & HR,,,,,,
75,Deel,Business,"B2B,",27,? 118.4K,? 308.5K,2021,https://www.letsdeel.com/
76,,software & HR,B2B2C,,,,,
