,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
0,,,model,count 3Q,taxes 3Q,3Q,founded,
1,Wise,FinTech,"B2B, C2C,",1157,? 5.2M,? 17.2K,2013,https://wise.com/
2,,,B2C,,,,,
3,Bolt,Transportation,B2B2C,932,? 5M,? 194.5M,2013,http://bolt.eu
4,,& Logistics,,,,,,
5,Veriff,CyberTech,"B2B,",277,? 1.3M,? 4.4M,2015,www.veriff.com
6,,,B2B2C,,,,,
7,Paxful,FinTech,"B2C,",107,? 1.2M,? 5.7M,2016,www.paxful.com
8,,,B2B2C,,,,,
9,Starship Technologies,Transportation,-,178,? 881.4K,? 6.1M,2014,https://www.starship.xyz/
10,,& Logistics,,,,,,
11,Milrem Robotics,Transportation,"B2B, B2G",155,? 828.5K,? 3M,2013,www.milremrobotics.com
12,,& Logistics,,,,,,
13,Monese,FinTech,-,129,? 687K,? 142.9K,2015,https://www.monese.com/
14,Linnworks,Business,B2B,86,? 640K,? 1.7M,2011,https://www.linnworks.com/
15,,software & HR,,,,,,
16,Glia,Communication,"B2B,",89,? 497.2K,? 1.6M,2012,https://salemove.wistia.com/
17,,,B2B2C,,,,,medias/xgfd5sc2ut
18,Scoro,Business,B2B,86,? 461.9K,? 2.2M,2013,https://www.scoro.com/
19,,software & HR,,,,,,
20,Comodule,CleanTech,"B2B, B2C,",120,? 443.7K,? 3.5M,2014,https://www.comodule.com/
21,,,B2B2C,,,,,
22,Testlio,Business,-,63,? 415.9K,? 1.1M,2012,http://testlio.com/
23,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
24,,,model,count 3Q,taxes 3Q,3Q,founded,
25,ONOFF APP OU,Communication,B2B2C,64,? 391.7K,? 3.3M,2014,https://www.onoffapp.com/
26,Eurora Solutions,Business,"B2B, B2C",74,? 384.1K,? 14.9K,2018,www.eurora.com
27,,software & HR,,,,,,
28,RangeForce,CyberTech,B2B,44,? 377.5K,? 1M,2014,https://www.rangeforce.com/home
29,Xolo,FinTech,B2B,71,? 375.9K,? 966K,2015,https://www.xolo.io/
30,GoWorkAbit,Business,-,360,? 368K,? 1.3M,2013,https://goworkabit.ee/
31,,software & HR,,,,,,
32,Fiizy,FinTech,B2B2C,32,? 333.9K,? 4.4M,2014,www.fiizy.com
33,Adcash,AdTech &,-,47,? 331.7K,? 6.9M,2011,https://adcash.com/
34,,Creative Tech,,,,,,
35,Sixfold,Transportation,B2B,47,? 324.9K,? 1.3M,2017,https://sixfold.com
36,,& Logistics,,,,,,
37,Katana MRP,Advanced,"B2B, B2C,",50,? 320.1K,? 906.9K,2017,https://katanamrp.com
38,,Manufacturing,B2B2C,,,,,
39,,& Industry,,,,,,
40,Tuum,FinTech,B2B,49,? 294.1K,? 354.2K,2019,https://tuumplatform.com/
41,Swappie,Consumer,B2C,346,? 277.4K,? 871.2K,2020,www.swappie.com
42,,products and,,,,,,
43,,services,,,,,,
44,Threod Systems,SpaceTech,-,54,? 257K,? 906.8K,2012,https://threod.com/
45,Brainbase,Business,B2B,37,? 245.6K,? 1M,2016,https://www.brainbase.com/
46,,software & HR,,,,,,
47,Change Invest,FinTech,B2C,49,? 216.5K,? 253.8K,2016,www.changeinvest.com
48,Topia,Business,-,30,? 216.4K,? 638.3K,2014,https://www.topia.com/
49,,software & HR,,,,,,
50,Insly Ltd,FinTech,"B2B,",45,? 215K,? 726.4K,2013,https://www.insly.com/en/
51,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
52,,,model,count 3Q,taxes 3Q,3Q,founded,
53,Ampler Bikes,Transportation,B2C,100,? 205K,? 1.7M,2014,www.amplerbikes.com
54,,& Logistics,,,,,,
55,CybExer Technologies,CyberTech,-,23,? 203.8K,? 602.5K,2016,http://www.cybexer.com/
56,Klaus,Business,"B2B, B2C",30,? 198.3K,? 425.8K,2018,www.klausapp.com
57,,software & HR,,,,,,
58,3Commas,FinTech,"B2B, B2C,",20,? 171K,? 5.3M,2016,https://3commas.io/
59,,,B2B2C,,,,,
60,EstateGuru,FinTech,"B2B, B2C,",43,? 170.6K,-,2013,https://estateguru.co
61,,,B2B2C,,,,,
62,Multilogin,CyberTech,"B2B, B2C",25,? 163.8K,? 2.2M,2015,http://multilogin.com
63,Turnit,TravelTech,"B2B, B2G,",34,? 154.1K,? 539K,2014,www.turnit.com
64,,,B2B2C,,,,,
65,Salv,FinTech,B2B,31,? 139.3K,? 144.6K,2018,www.salv.com
66,Auve,Transportation,"B2B,",33,? 138.1K,? 82.8K,2017,auve.tech
67,,& Logistics,B2B2C,,,,,
