,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
0,,,model,count 4Q,taxes 4Q,4Q,founded,
1,Bolt,Transportation,B2B2C,1021,? 5.5M,? 249M,2013,http://bolt.eu
2,,& Logistics,,,,,,
3,Wise,FinTech,"B2B, C2C,",1218,? 4.8M,? 25.5K,2013,https://wise.com/
4,,,B2C,,,,,
5,Veriff,CyberTech,"B2B,",329,? 1.5M,? 13.6M,2015,www.veriff.com
6,,,B2B2C,,,,,
7,Paxful,FinTech,"B2C,",87,? 933.6K,? 4.2M,2016,www.paxful.com
8,,,B2B2C,,,,,
9,Milrem Robotics,Transportation,"B2B, B2G",165,? 843.2K,? 3.2M,2013,www.milremrobotics.com
10,,& Logistics,,,,,,
11,Starship Technologies,Transportation,-,220,? 726.6K,? 8M,2014,https://www.starship.xyz/
12,,& Logistics,,,,,,
13,Monese,FinTech,-,142,? 672.9K,? 111.9K,2015,https://www.monese.com/
14,GoWorkAbit,Business,-,215,? 611.9K,? 1.8M,2013,https://goworkabit.ee/
15,,software & HR,,,,,,
16,Glia,Communication,"B2B,",98,? 593.8K,? 2.1M,2012,https://salemove.wistia.com/
17,,,B2B2C,,,,,medias/xgfd5sc2ut
18,Eurora Solutions,Business,"B2B, B2C",77,? 490.5K,? 108.1K,2018,www.eurora.com
19,,software & HR,,,,,,
20,Comodule,CleanTech,"B2B, B2C,",105,? 458.7K,? 4.3M,2014,https://www.comodule.com/
21,,,B2B2C,,,,,
22,Scoro,Business,B2B,89,? 449.5K,? 2.6M,2013,https://www.scoro.com/
23,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
24,,,model,count 4Q,taxes 4Q,4Q,founded,
25,Swappie,Consumer,B2C,413,? 442.3K,? 13.6M,2020,www.swappie.com
26,,products and,,,,,,
27,,services,,,,,,
28,Testlio,Business,-,60,? 434.3K,? 1.3M,2012,http://testlio.com/
29,,software & HR,,,,,,
30,ONOFF APP OU,Communication,B2B2C,65,? 393.8K,? 2.3M,2014,https://www.onoffapp.com/
31,Ampler Bikes,Transportation,B2C,104,? 393.7K,? 2.9M,2014,www.amplerbikes.com
32,,& Logistics,,,,,,
33,Sixfold,Transportation,B2B,57,? 381.3K,? 1.5M,2017,https://sixfold.com
34,,& Logistics,,,,,,
35,Linnworks,Business,B2B,90,? 371.5K,? 1.1M,2011,https://www.linnworks.com/
36,,software & HR,,,,,,
37,Xolo,FinTech,B2B,73,? 368.3K,? 1.2M,2015,https://www.xolo.io/
