,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
0,,,model,count 2Q,taxes 2Q,2Q,founded,
1,Bolt,Transportation,B2B2C,818,? 4.5M,? 153.4M,2013,http://bolt.eu
2,,& Logistics,,,,,,
3,Wise,FinTech,"B2B, C2C,",1079,? 4M,? 32.5K,2013,https://wise.com/
4,,,B2C,,,,,
5,Veriff,CyberTech,"B2B,",265,? 1.3M,? 4.1M,2015,www.veriff.com
6,,,B2B2C,,,,,
7,Paxful,FinTech,"B2C,",149,? 1.2M,? 6.5M,2016,www.paxful.com
8,,,B2B2C,,,,,
9,Starship Technologies,Transportation,-,156,? 878.7K,? 996.3K,2014,https://www.starship.xyz/
10,,& Logistics,,,,,,
11,Milrem Robotics,Transportation,"B2B, B2G",143,? 686.3K,? 1.1M,2013,www.milremrobotics.com
12,,& Logistics,,,,,,
13,Monese,FinTech,-,132,? 637.3K,? 190.7K,2015,https://www.monese.com/
14,Scoro,Business,B2B,87,? 454.4K,? 2.1M,2013,https://www.scoro.com/
15,,software & HR,,,,,,
16,Glia,Communication,"B2B,",76,? 413.3K,? 1.4M,2012,https://salemove.wistia.com/
17,,,B2B2C,,,,,medias/xgfd5sc2ut
18,Fiizy,FinTech,B2B2C,31,? 398.4K,? 3.7M,2014,www.fiizy.com
19,Testlio,Business,-,60,? 384.3K,? 1.2M,2012,http://testlio.com/
20,,software & HR,,,,,,
21,Xolo,FinTech,B2B,67,? 358K,? 978.1K,2015,https://www.xolo.io/
22,RangeForce,CyberTech,B2B,48,? 357.2K,? 928K,2014,https://www.rangeforce.com/home
23,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
24,,,model,count 2Q,taxes 2Q,2Q,founded,
25,GoWorkAbit,Business,-,252,? 351.6K,? 1.1M,2013,https://goworkabit.ee/
26,,software & HR,,,,,,
27,Comodule,CleanTech,"B2B, B2C,",126,? 348K,? 3.7M,2014,https://www.comodule.com/
28,,,B2B2C,,,,,
29,ONOFF APP OU,Communication,B2B2C,59,? 347.7K,? 2M,2014,https://www.onoffapp.com/
30,Adcash,AdTech &,-,54,? 340.2K,? 7.5M,2011,https://adcash.com/
31,,Creative Tech,,,,,,
32,Linnworks,Business,B2B,79,? 306.7K,? 948.2K,2011,https://www.linnworks.com/
33,,software & HR,,,,,,
34,Sixfold,Transportation,B2B,41,? 295.8K,? 1.2M,2017,https://sixfold.com
35,,& Logistics,,,,,,
36,Threod Systems,SpaceTech,-,50,? 281.3K,? 2.6M,2012,https://threod.com/
37,Eurora Solutions,Business,"B2B, B2C",54,? 256.2K,? 43.8K,2018,www.eurora.com
38,,software & HR,,,,,,
39,Tuum,FinTech,B2B,39,? 255K,? 314.9K,2019,https://tuumplatform.com/
40,Ampler Bikes,Transportation,B2C,70,? 253.9K,? 1.5M,2014,www.amplerbikes.com
41,,& Logistics,,,,,,
42,Katana MRP,Advanced,"B2B, B2C,",43,? 252.5K,? 690.4K,2017,https://katanamrp.com
43,,Manufacturing,B2B2C,,,,,
44,,& Industry,,,,,,
45,Topia,Business,-,34,? 248.5K,? 796.6K,2014,https://www.topia.com/
46,,software & HR,,,,,,
47,Insly Ltd,FinTech,"B2B,",45,? 215.7K,? 890.9K,2013,https://www.insly.com/en/
48,,,B2B2C,,,,,
49,Car Rental Gateway,TravelTech,B2B,44,? 206.3K,? 335.5K,2016,https://www.carrentalgateway.com/
50,,,,,,,,titanium-mobility/
51,CybExer Technologies,CyberTech,-,24,? 203K,? 332.2K,2016,http://www.cybexer.com/
52,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
53,,,model,count 2Q,taxes 2Q,2Q,founded,
54,OCCO,Business,B2B,46,? 192.8K,? 3.8M,2016,occo.digital
55,,software & HR,,,,,,
56,Brainbase,Business,B2B,29,? 191.7K,? 845.4K,2016,https://www.brainbase.com/
57,,software & HR,,,,,,
58,Klaus,Business,"B2B, B2C",24,? 183.3K,? 799.7K,2018,www.klausapp.com
59,,software & HR,,,,,,
60,Change Invest,FinTech,B2C,41,? 176.9K,? 333K,2016,www.changeinvest.com
61,Bob W,TravelTech,"B2B, B2C",22,? 171.2K,? 85.6K,2018,bobw.co
62,Multilogin,CyberTech,"B2B, B2C",26,? 166.2K,? 1.9M,2015,http://multilogin.com
63,Turnit,TravelTech,"B2B, B2G,",30,? 153.4K,? 1.1M,2014,www.turnit.com
64,,,B2B2C,,,,,
65,EstateGuru,FinTech,"B2B, B2C,",31,? 135.2K,-,2013,https://estateguru.co
66,,,B2B2C,,,,,
67,3Commas,FinTech,"B2B, B2C,",20,? 132.4K,? 9.2M,2016,https://3commas.io/
68,,,B2B2C,,,,,
69,Hepta,CleanTech,B2B,39,? 131.7K,? 199.8K,2017,https://heptaairborne.com
