,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
0,,,model,count 1Q,taxes 1Q,1Q,founded,
1,Bolt,Transportation,B2B2C,757,? 3.9M,? 126.1M,2013,http://bolt.eu
2,,& Logistics,,,,,,
3,Wise,FinTech,"B2B, C2C,",982,? 3.6M,-,2013,https://wise.com/
4,,,B2C,,,,,
5,Paxful,FinTech,"B2C,",149,? 1.5M,? 7.2M,2016,www.paxful.com
6,,,B2B2C,,,,,
7,Veriff,CyberTech,"B2B,",248,? 1.1M,? 3.1M,2015,www.veriff.com
8,,,B2B2C,,,,,
9,Starship Technologies,Transportation,-,132,? 819.3K,? 4.3M,2014,https://www.starship.xyz/
10,,& Logistics,,,,,,
11,Milrem Robotics,Transportation,"B2B, B2G",127,? 680.7K,? 2.6M,2013,www.milremrobotics.com
12,,& Logistics,,,,,,
13,Monese,FinTech,-,125,? 621.9K,? 221.7K,2015,https://www.monese.com/
14,Scoro,Business,B2B,81,? 399.5K,? 2.5M,2013,https://www.scoro.com/
15,,software & HR,,,,,,
16,Testlio,Business,-,60,? 388.2K,? 1.1M,2012,http://testlio.com/
17,,software & HR,,,,,,
18,Adcash,AdTech &,-,51,? 361.5K,? 9.9M,2011,https://adcash.com/
19,,Creative Tech,,,,,,
20,Fiizy,FinTech,B2B2C,38,? 361.1K,? 4.7M,2014,www.fiizy.com
21,ONOFF APP OU,Communication,B2B2C,52,? 351.9K,? 1.3M,2014,https://www.onoffapp.com/
22,RangeForce,CyberTech,B2B,49,? 342.7K,? 1M,2014,https://www.rangeforce.com/home
23,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
24,,,model,count 1Q,taxes 1Q,1Q,founded,
25,Xolo,FinTech,B2B,67,? 335.9K,? 997.9K,2015,https://www.xolo.io/
26,Threod Systems,SpaceTech,-,52,? 330.3K,? 1.3M,2012,https://threod.com/
27,Comodule,CleanTech,"B2B, B2C,",94,? 325.4K,? 1.4M,2014,https://www.comodule.com/
28,,,B2B2C,,,,,
29,Sixfold,Transportation,B2B,37,? 311.8K,? 1.2M,2017,https://sixfold.com
30,,& Logistics,,,,,,
31,Topia,Business,-,31,? 305.4K,-,2014,https://www.topia.com/
32,,software & HR,,,,,,
33,Glia,Communication,"B2B,",70,? 300.3K,? 1.1M,2012,https://salemove.wistia.com/
34,,,B2B2C,,,,,medias/xgfd5sc2ut
35,Linnworks,Business,B2B,74,? 282.1K,? 896.3K,2011,https://www.linnworks.com/
36,,software & HR,,,,,,
37,GoWorkAbit,Business,-,214,? 240.9K,? 742.8K,2013,https://goworkabit.ee/
38,,software & HR,,,,,,
39,Tuum,FinTech,B2B,38,? 215.3K,? 541.2K,2019,https://tuumplatform.com/
40,OCCO,Business,B2B,46,? 192.8K,? 3.8M,2016,occo.digital
41,,software & HR,,,,,,
42,Insly Ltd,FinTech,"B2B,",43,? 186K,? 1M,2013,https://www.insly.com/en/
43,,,B2B2C,,,,,
44,CybExer Technologies,CyberTech,-,27,? 185.5K,? 2.1M,2016,http://www.cybexer.com/
45,Katana MRP,Advanced,"B2B, B2C,",41,? 175.2K,? 482.8K,2017,https://katanamrp.com
46,,Manufacturing,B2B2C,,,,,
47,,& Industry,,,,,,
48,Multilogin,CyberTech,"B2B, B2C",29,? 158.9K,? 1.7M,2015,http://multilogin.com
49,Eurora Solutions,Business,"B2B, B2C",39,? 158K,? 45.5K,2018,www.eurora.com
50,,software & HR,,,,,,
51,Klaus,Business,"B2B, B2C",26,? 157.8K,? 339.4K,2018,www.klausapp.com
52,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
53,,,model,count 1Q,taxes 1Q,1Q,founded,
54,,software & HR,,,,,,
55,Ampler Bikes,Transportation,B2C,65,? 154.2K,? 953.4K,2014,www.amplerbikes.com
56,,& Logistics,,,,,,
57,Brainbase,Business,B2B,26,? 150.5K,? 572.9K,2016,https://www.brainbase.com/
58,,software & HR,,,,,,
59,Turnit,TravelTech,"B2B, B2G,",35,? 149.6K,? 1M,2014,www.turnit.com
60,,,B2B2C,,,,,
61,Funderbeam.,FinTech,"B2C,",14,? 138.3K,? 260.1K,2013,www.funderbeam.com
62,,,B2B2C,,,,,
63,Change Invest,FinTech,B2C,41,? 133.7K,? 3.3M,2016,www.changeinvest.com
64,CyberCube Analytics,CyberTech,B2B,16,? 128.8K,? 4.7K,2019,www.cybcube.com
65,SkySelect,Transportation,B2B,13,? 125K,? 374.3K,2017,www.skyselect.com
66,,& Logistics,,,,,,
67,Burfa,CyberTech,-,23,? 124.7K,? 1.9M,2013,https://burfa.com/
68,Moss Estonia,FinTech,B2B,17,? 120.5K,? 472.3K,2021,https://en.getmoss.com/
69,Car Rental Gateway,TravelTech,B2B,37,? 118.6K,? 505.7K,2016,https://www.carrentalgateway.com/
70,,,,,,,,titanium-mobility/
71,Deel,Business,"B2B,",27,? 118.4K,? 308.5K,2021,https://www.letsdeel.com/
72,,software & HR,B2B2C,,,,,
73,Hepta,CleanTech,B2B,39,? 114K,? 345K,2017,https://heptaairborne.com
74,EstateGuru,FinTech,"B2B, B2C,",28,? 113.9K,-,2013,https://estateguru.co
75,,,B2B2C,,,,,
76,Bob W,TravelTech,"B2B, B2C",28,? 113.1K,? 85.9K,2018,bobw.co
77,Salv,FinTech,B2B,28,? 111.3K,? 85.8K,2018,www.salv.com
78,Pocopay,FinTech,-,21,? 106.8K,? 685.9K,2014,http://www.pocopay.com/
79,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
80,,,model,count 1Q,taxes 1Q,1Q,founded,
81,eAgronom,AgTech &,B2B,32,? 105.4K,? 314.2K,2016,http://eagronom.com/
82,,FoodTech,,,,,,
83,Roofit.solar,CleanTech,"B2B, B2C,",28,? 105K,? 409.6K,2016,https://roofit.solar
84,,,B2B2C,,,,,
85,Lingvist,EdTech,B2C,16,? 104.6K,? 739K,2013,http://lingvist.io/
86,Auve,Transportation,"B2B,",28,? 102.7K,? 140.1K,2017,auve.tech
87,,& Logistics,B2B2C,,,,,
88,3Commas,FinTech,"B2B, B2C,",18,? 99.7K,? 1.6M,2016,https://3commas.io/
89,,,B2B2C,,,,,
90,Polybius,FinTech,B2C,18,? 98.5K,? 352.5K,2018,https://osom.finance
91,Messente,CyberTech,B2B,16,? 93.5K,? 2.5M,2013,www.messente.com
92,Communications,,,,,,,
93,MINDTITAN,Business,B2B,26,? 91.7K,? 284.2K,2016,www.mindtitan.com
94,,software & HR,,,,,,
95,NEXD,AdTech &,"B2B,",19,? 91.7K,? 289.8K,2015,https://nexd.com
96,,Creative Tech,B2B2C,,,,,
97,Viveo Health,"HealthTech, Life","B2B, B2C",27,? 91.2K,-,2017,www.viveohealth.com
98,,sciences &,,,,,,
